,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
0.1,0.2833333333333333,0.1,0.0,0.0,0.0,0.0,0.08,0.4111111111111111,0.7,0.7,0.8833333333333333,0.95,1.075,0.95,0.8583333333333334,0.25,0.1875,0.1,0.5,0.6
0.2,0.45,0.2,0.0,0.15,0.2,0.1,0.7749999999999999,0.86,1.011111111111111,1.1749999999999998,1.45,1.45,1.45,1.45,1.157142857142857,0.35,0.2,0.4666666666666667,0.6,0.6
0.30000000000000004,0.6166666666666667,0.39999999999999997,0.36666666666666664,0.6365079365079365,0.5611111111111111,0.7333333333333334,1.361904761904762,1.2999999999999998,1.4576923076923076,1.575,1.7833333333333332,1.45,1.45,1.4,1.125,0.6000000000000001,0.5642857142857143,0.6,0.6,0.6
0.4,1.092857142857143,1.12,1.0666666666666667,1.6333333333333333,1.2833333333333332,1.4958333333333336,1.9555555555555555,1.6023809523809522,1.9,1.7833333333333332,1.8944444444444444,1.5722222222222222,1.5928571428571427,1.65,1.3666666666666667,0.5333333333333333,0.7,0.0,0.6,0.6
0.5,1.48515625,1.5520089285714285,1.8333333333333335,2.033333333333333,2.1333333333333333,1.3666666666666667,1.7333333333333334,1.7541666666666664,1.5595238095238093,1.7833333333333332,2.05,1.7833333333333332,1.7833333333333332,1.6833333333333333,1.413333333333333,1.1,0.7388888888888889,0.6,0.6,0.6
0.6,2.520907738095238,1.7984317765567768,2.099074074074074,2.265079365079365,2.5967171717171715,2.0761904761904764,1.6407407407407406,1.8444444444444443,1.8833333333333333,1.8499999999999999,2.1166666666666663,1.7833333333333332,1.7833333333333332,1.7833333333333332,1.45,0.8701388888888888,0.725,0.6,0.6,0.6
0.7000000000000001,3.1500000000000004,2.494649621212121,2.5361111111111114,2.6444444444444444,2.7373015873015873,2.6777777777777776,2.0527777777777776,1.9277777777777776,1.9803703703703701,1.8944444444444444,2.227777777777778,1.969047619047619,2.166666666666667,1.9738095238095237,1.5133333333333332,0.8803571428571428,0.7666666666666666,0.6,0.6,0.6
0.8,3.5950892857142858,2.6516666666666664,2.6444444444444444,2.7012152777777776,3.4277777777777776,2.7246527777777776,2.203819444444444,2.20828373015873,2.1557291666666663,2.4336309523809523,2.95,2.533333333333333,2.533333333333333,1.6166666666666667,1.8249999999999997,1.1905555555555554,0.7666666666666666,0.05555555555555555,0.9333333333333333,0.9333333333333333
0.9,4.113020833333334,2.7618055555555556,3.1444444444444444,3.0268849206349207,3.779166666666667,3.035515873015873,2.256944444444444,2.4569444444444444,2.43234126984127,2.678835978835979,2.95,2.664285714285714,2.6166666666666663,2.416666666666667,2.066666666666667,0.9966666666666666,0.7785714285714286,0.8222222222222222,0.9333333333333333,0.9333333333333333
1.0,4.153125,2.997064393939394,3.1444444444444444,3.302480158730159,4.2652777777777775,3.807986111111111,2.9009920634920636,2.758664021164021,2.376388888888889,2.8997354497354495,2.95,2.6166666666666663,2.6166666666666663,2.6166666666666663,2.0388888888888888,1.3833333333333333,0.7875,0.8777777777777778,0.9333333333333333,0.9333333333333333
1.1,4.452529761904762,2.755555555555556,3.186111111111111,4.064670138888889,5.118611111111111,4.148611111111111,3.573611111111111,3.2075396825396822,1.8479166666666667,2.916666666666667,2.95,2.6166666666666663,2.6166666666666663,2.6166666666666663,2.5655555555555556,0.9833333333333333,0.7071428571428571,0.8222222222222222,0.9333333333333333,0.9333333333333333
1.2000000000000002,4.56875,4.099627976190476,3.6444444444444444,4.608990575396826,5.023611111111111,4.298611111111111,3.4236111111111107,3.346759259259259,2.81276455026455,2.977777777777778,2.95,2.727777777777778,2.6166666666666663,2.4916666666666663,2.1246031746031746,1.0782051282051281,0.75,0.9333333333333333,0.9333333333333333,0.9333333333333333
1.3000000000000003,5.238020833333334,4.204224537037037,4.218663194444444,5.480803571428571,5.952331349206349,5.289756944444444,4.7826884920634924,4.158184523809523,3.5410020968614715,3.333333333333333,3.883333333333333,3.05,3.0566017316017318,3.1166341991341993,2.3185064935064936,1.2111111111111112,0.6625,0.9333333333333333,0.9333333333333333,0.9333333333333333
