id,file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
SN2006X-FUV,SN2006X-FUV.fits.gz,SN2006X,FUV,185.724708333333,15.8088888888889,7,2006-03-11,2009-05-10,2006-02-04,0,7,35,1192,35
SN2007af-FUV,SN2007af-FUV.fits.gz,SN2007af,FUV,215.587625,-0.393777777777778,5,2007-04-17,2009-05-24,2007-03-01,0,5,47,815,47
SN2007af-NUV,SN2007af-NUV.fits.gz,SN2007af,NUV,215.587625,-0.393777777777778,5,2007-04-17,2009-05-24,2007-03-01,0,5,47,815,47
SN2004W-FUV,SN2004W-FUV.fits.gz,SN2004W,FUV,190.902166666667,11.5307777777778,3,2004-03-31,2008-04-23,2004-01-28,0,3,64,1547,64
SN2004W-NUV,SN2004W-NUV.fits.gz,SN2004W,NUV,190.902166666667,11.5307777777778,15,2004-03-31,2011-03-21,2004-01-28,0,15,64,2610,64
SN2004ab-FUV,SN2004ab-FUV.fits.gz,SN2004ab,FUV,199.242416666667,-16.6313055555556,4,2004-05-16,2008-03-11,2004-02-21,0,4,86,1480,86
SN2004ab-NUV,SN2004ab-NUV.fits.gz,SN2004ab,NUV,199.242416666667,-16.6313055555556,4,2004-05-16,2008-03-11,2004-02-21,0,4,86,1480,86
