,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
1.0,1.0,1.0,1.4285714285714286,2.0,2.8142857142857145,4.206896551724138,3.8,4.16090909090909,5.227272727272727,5.7290640394088665,6.04,6.880105401844532,6.6298076923076925,6.1035373072011,7.653309409888358,6.863589457137844,6.401455026455026,6.294019265670808,5.975552348260258,5.624338624338624
1.4384498882876628,1.4,1.6402116402116402,2.2698412698412698,2.7705026455026456,5.47338360564167,6.142857142857143,6.028944911297852,7.093501326259947,6.976190476190476,7.590909090909091,7.246614697701655,8.25,7.970588235294118,8.544980965738329,11.13099700149925,10.781040820845943,10.178249336870028,9.257603686635946,9.152351708761003,7.010119920402178
2.0691380811147897,2.0,2.5,3.557285873192436,6.048157055925819,7.42635477582846,7.649038461538462,8.412631578947368,8.222222222222221,9.216025641025642,9.386868509065305,9.429875541125542,9.989769489769492,10.303736263736262,11.822991338112306,13.033685064935066,13.220997508238888,12.489833864580314,12.127261580248836,11.36044633527392,9.690647857889237
2.976351441631318,2.111111111111111,3.444444444444444,5.2659722222222225,7.586206896551724,8.527173913043478,8.933928571428572,9.739569892473117,9.038095238095238,10.013651002781437,12.054037267080744,11.37022397891963,12.404761904761905,13.897918263090675,16.442165242165245,16.943153183023874,17.27423193165322,17.97263055829619,16.76663961038961,15.492696886446888,15.022330244350705
4.281332398719393,2.821428571428571,4.435013262599469,6.915804195804196,8.225,9.414485514485515,10.769021739130434,10.614718614718615,11.837341021551547,12.977266145160883,14.669565217391305,13.498647565618112,15.087018633540374,17.71279135338346,18.591425289167226,19.27201298701299,20.30778673173484,20.37810931135739,19.253703703703703,18.84605288717131,17.261444317720617
6.158482110660264,3.592258064516129,5.849038461538462,7.941348973607038,9.092391304347826,11.238258038258039,11.392857142857142,12.649379129642288,14.353846153846154,15.549047619047618,15.985462454212454,15.478669639539204,18.47140824778053,20.66346339987901,21.24084547298543,23.203314332726098,23.251111934141385,23.25662878787879,21.61100513801382,22.2508658008658,19.392583470169676
8.858667904100825,4.629316357863849,7.306019585253456,8.38835725677831,10.619408369408369,12.683497536945811,12.420454545454545,15.559072328637546,17.440069551117936,17.613733240331705,19.06627010187382,19.72075592075592,22.495262491392523,24.14217032967033,24.923103212576898,25.89023697025946,25.759886223931773,25.346200096200096,25.054742518958804,24.22931276297335,20.836642667677147
12.742749857031335,6.332443455691509,8.041666666666666,9.766369047619047,12.35232383808096,12.818181818181818,14.684790372670808,18.02777777777778,20.102736928104576,20.730466884162535,23.286271543482172,24.960347695782477,26.90004019129019,26.91583688031964,28.6314766850236,28.854356310618837,27.73305999304184,27.57744252873563,27.149729601342504,24.93103448275862,22.5180198768421
18.329807108324356,7.761904761904762,8.773077905491698,11.213160173160173,13.0,13.637477257042473,17.38249474053296,20.586904761904762,21.036490683229815,23.889622875940006,28.100887126238995,30.411640499194846,32.2642089093702,33.28505803904619,33.75767850923023,33.23724784223511,29.646350587172087,29.71462410930177,27.131282051282053,25.17584541062802,22.597117003367
26.366508987303583,8.294117647058822,10.121481481481482,12.48875,13.175,16.485811453039716,19.058881118881118,21.532266009852215,22.317282278277702,27.670282324776068,31.861538927965068,33.92901843416188,34.891807667594776,37.21706820956821,37.890313390313395,34.806435340974815,33.05007501047545,31.792526477146044,28.539434741503708,26.314475671593485,23.23093108716841
