Name,Disc.Y,Disc.M,Disc.D,r_Disc.D,RAh,RAm,RAs,DE-,DEd,DEm,DEs,f_DEs,Obs,tFirst,tLast,tNext,z,r_z,Dist,e_Dist,r_Dist,VExt
ESSENCEq022,2006,09,11,2007SDSS6.C...0000:,01,12,03.864,-,00,01,28.9452,,19,-1070,1838,387,0.22637,2016SDSSD.C...0000:,965,68,2016SDSSD.C...0000:,0.083
ESSENCEr185,2006,10,31,2007SDSS6.C...0000:,01,11,48.245,-,00,29,49.46,,12,-1120,1428,337,0.18011,2016SDSSD.C...0000:,767,54,2016SDSSD.C...0000:,0.066
ESSENCEr317,2006,11,14,2016ApJS..224....3N,01,13,24.658,+,00,51,27.757,,28,-778,1774,312,0.3361,2016ApJS..224....3N,1435,101,2016ApJS..224....3N,0.07
Hawk,2004,11,05,2011A&A...528A..35M,12,35,41.16,+,62,11,37.19,,211,-281,2315,163,0.49673,2004AJ....127.3121W,2129,149,2004AJ....127.3121W,0.031
HST04Sas,2004,05,23,2004ApJ...617..240K,12,36,54.125,+,62,08,22.21,,213,-118,2481,329,0.44643,2004AJ....127.3121W,1914,134,2004AJ....127.3121W,0.031
Kurage,2004,12,15,2001A&A...377..442W,03,32,36.03,-,27,51,17.66,,326,-401,2184,311,0.3592,2004A&A...428.1043L,1537,108,2004A&A...428.1043L,0.021
PS1-1000003,2010,01,11,2014ApJ...795...44R,08,37,18.938,+,44,20,01.44,,8,-2186,3,4,0.152,2014ApJ...795...44R,653,46,2014ApJ...795...44R,0.07400000000000001
PS1-1000004,2010,01,11,2014ApJ...795...44R,03,33,27.948,-,28,22,17.48,,142,-2254,331,314,0.231,2014ApJ...795...44R,988,69,2014ApJ...795...44R,0.023
PS1-1000005,2010,01,12,2014ApJ...795...44R,09,58,59.758,+,03,09,27.11,,42,-1438,400,24,0.245,2014ApJ...795...44R,1054,74,2014ApJ...795...44R,0.061
PS1-1000007,2010,01,10,2014ApJ...795...44R,02,23,30.711,-,04,38,10.76,,147,-2223,306,289,0.137,2014ApJ...795...44R,583,41,2014ApJ...795...44R,0.071
PS1-1000008,2010,01,10,2014ApJ...795...44R,02,24,15.945,-,03,11,11.53,,54,-1153,306,288,0.25,2014ApJ...795...44R,1067,86,2014ApJ...795...44R,0.076
PS1-1000009,2010,01,10,2014ApJ...795...44R,02,20,22.959,-,04,40,21.03,,65,-1903,306,289,0.15,2014ApJ...795...44R,639,45,2014ApJ...795...44R,0.06
