,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900
0.1,0.7692307692307693,0.0,0.0,0.0,0.29411764705882354,1.0,1.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13501275609964633,0.6875,0.0,0.0,0.0,0.64,1.1578947368421053,1.4285714285714286,0.9090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.5882352941176471,0.5,0.0
0.18228444309622588,0.85,0.0,0.0,0.0,0.6875,1.4666666666666668,2.0,1.5,0.4444444444444444,0.6842105263157895,0.9230769230769231,0.9047619047619048,0.0,0.0,0.0,0.0,0.5294117647058824,1.0,1.0,0.16666666666666666
0.246107250565106,1.1666666666666667,0.7740384615384616,1.0,0.4831932773109243,1.3181818181818181,1.4545454545454546,2.0,1.75,0.45882352941176474,1.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.8461538461538461,1.0,1.0,0.0
0.33227618194901204,1.875,1.375,1.5789473684210527,1.380952380952381,1.667816091954023,2.6666666666666665,2.625,1.6111111111111112,0.8333333333333333,1.0,1.0,0.8181818181818182,0.0,0.10526315789473684,0.0,0.05263157894736842,1.0,1.0,1.0,0.26666666666666666
0.44861523111203666,2.602870813397129,1.7,2.368181818181818,2.6315789473684212,2.943734335839599,3.0,3.0,2.2857142857142856,0.8557692307692308,1.0,1.0,0.8095238095238095,0.4090909090909091,1.0,1.0,0.5257142857142857,1.0,1.0,1.0,0.07142857142857142
0.6056877878071587,3.6565656565656566,3.2587301587301587,4.261904761904762,4.200854700854701,4.321230158730159,3.2941176470588234,3.0,2.2698412698412698,1.1545454545454545,1.0,1.0,0.75,0.7727272727272727,1.0,1.0,1.0476190476190477,1.0,1.0,1.0,0.13333333333333333
0.8177557756774225,4.393571048834207,6.264457129445687,6.766666666666667,6.4730481506797295,5.505921052631579,4.523809523809524,3.05,2.083333333333333,1.0875,1.0,1.0,0.95,1.0,1.0,1.0,0.935064935064935,1.0,1.0,1.0,0.375
1.1040746109061295,6.446832115253169,7.907440925087984,9.483333333333334,8.580952380952382,6.262698412698413,5.813762626262626,4.0625,2.905513468013468,1.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0952380952380953,1.1904761904761905,1.0,1.0,1.0,0.058823529411764705
1.4906415615808117,8.236880804953561,9.691318681318682,11.498948162260854,9.562100438261428,7.195395127748069,6.828787878787878,5.642857142857142,3.811221227621483,1.9210526315789473,1.8333333333333333,1.6720647773279353,1.0625,1.0,1.0,1.3636363636363638,1.2142857142857142,1.0,1.0,1.0,0.0625
2.012556255857061,10.663848430140325,12.017857142857144,14.0608120122052,11.046201510907395,8.573436431989064,7.6448043184885295,6.8,5.634964815885868,3.158333333333333,3.0,2.6666666666666665,1.263157894736842,1.0,1.0,1.6,1.2173913043478262,1.0,1.0,1.0,0.21052631578947367
2.717207669088468,13.165060647413588,14.547619047619047,17.346078431372547,13.302946906035142,10.629417898922544,8.106951871657754,7.166666666666667,6.606415548675611,3.266252587991718,3.0,2.6923076923076925,1.391304347826087,1.0,1.0,1.8235294117647058,1.2222222222222223,1.0,1.0,1.0,0.16666666666666666
3.6685769629872964,16.98345436526551,17.972720403951055,20.560104312163805,15.454369323486972,11.588292618899025,9.245919145690312,8.540106951871657,7.206079867844574,4.426927292656194,4.084327437268614,3.5193675889328064,1.5076923076923077,1.0,1.15,2.0,1.2857142857142856,1.0,1.0,1.0,0.11764705882352941
4.953046867365852,22.243748500717814,23.747420634920637,25.50406907614304,18.29002778530767,13.856777131537195,11.64728582820688,11.525666278166277,9.71449651655534,6.51957297088876,6.5,6.129378735299787,2.740952380952381,2.4027777777777777,2.3351506065149246,2.3846153846153846,1.2923076923076924,1.8333333333333335,1.4666666666666668,1.3333333333333333,0.21052631578947367
6.68724508653783,29.088140879401482,31.16935399052272,31.679950441715146,22.60395195145649,21.032744847470916,20.247602420014587,17.363243962592797,15.036965550552509,11.33617109155035,9.264169000933707,7.650252525252525,4.653787878787878,4.427086193745232,4.4665996833516015,3.4224598930481283,1.3766233766233764,2.0,2.0,1.6153846153846154,0.1875
9.028633898472904,39.02217142997194,45.438208312422304,44.75986526952505,33.899743943395514,31.70654921957688,29.10902375917855,22.181502162268416,19.482125004151857,15.236936383190253,13.431280415490942,10.265771045260209,7.214040616246499,7.286080586080586,6.9939926739926745,3.7476445123503948,1.7657894736842104,2.0,2.0,1.7,0.8954248366013072
12.189807464475212,57.38786907925386,66.65207583580177,62.85779489023264,44.81203786323756,45.989978369583646,42.93738413633151,29.094942078755512,26.19734994537626,23.10352407310612,18.039450436044866,12.637245767872365,10.215393385424344,9.553571428571429,7.976789800588428,3.8819964349376113,2.104414741605144,2.3,2.2857142857142856,2.3475935828877,1.1818181818181819
16.4577950210284,80.60588731505005,91.40959196409997,85.09878778052288,64.17385224262831,62.91108519159906,58.41021415248129,41.21032481880004,37.278147985485454,32.61907744138125,23.484111918353403,14.25915750915751,11.986134453781514,11.410413524384111,9.91470588235294,4.765082956259427,2.5957854406130267,3.230769230769231,4.0,3.7755656108597284,1.4999999999999998
22.220122651120814,106.40618323461884,118.26230738216032,115.93949813070627,84.03187425556354,83.44384495707253,79.87887911394876,58.335429638749396,51.661604668980814,44.09374269607241,29.586766556942553,18.820147668397773,15.825945378151262,12.096632534132533,9.991596638655462,6.285029644268775,4.464123376623377,5.339544513457557,4.125,4.255411255411255,2.3556818181818184
