file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
Adrian-FUV.fits.gz,Adrian,FUV,338.854025,-25.95266944444444,2,2007-08-18,2007-08-31,2006-04-20,0,2,485.0,499.0,485.0
Adrian-NUV.fits.gz,Adrian,NUV,338.854025,-25.95266944444444,2,2007-08-18,2007-08-31,2006-04-20,0,2,485.0,499.0,485.0
Aki-FUV.fits.gz,Aki,FUV,334.0044875,-17.62280277777778,96,2003-08-30,2008-08-22,2006-06-19,48,48,-1024.0,796.0,42.0
Aki-NUV.fits.gz,Aki,NUV,334.0044875,-17.62280277777778,109,2003-08-30,2009-09-21,2006-06-19,55,54,-1024.0,1191.0,42.0
ASASSN-13ch-FUV.fits.gz,ASASSN-13ch,FUV,244.1419166666667,-0.5909444444444445,1,2004-05-18,2004-05-18,2013-08-28,1,0,-3388.0,-3388.0,
ASASSN-13ch-NUV.fits.gz,ASASSN-13ch,NUV,244.1419166666667,-0.5909444444444445,1,2004-05-18,2004-05-18,2013-08-28,1,0,-3388.0,-3388.0,
ASASSN-13cj-FUV.fits.gz,ASASSN-13cj,FUV,244.295875,4.554083333333333,2,2006-07-10,2007-07-14,2013-08-27,2,0,-2605.0,-2235.0,
ASASSN-13cj-NUV.fits.gz,ASASSN-13cj,NUV,244.295875,4.554083333333333,4,2005-05-18,2007-07-14,2013-08-27,4,0,-3023.0,-2235.0,
ASASSN-13cp-FUV.fits.gz,ASASSN-13cp,FUV,233.45515,21.13940833333333,2,2006-07-18,2006-07-19,2013-08-30,2,0,-2599.0,-2599.0,
ASASSN-13cp-NUV.fits.gz,ASASSN-13cp,NUV,233.45515,21.13940833333333,2,2006-07-18,2006-07-19,2013-08-30,2,0,-2599.0,-2599.0,
ASASSN-13cu-FUV.fits.gz,ASASSN-13cu,FUV,10.041375,-10.43941666666667,2,2006-10-09,2006-11-22,2013-09-01,2,0,-2518.0,-2474.0,
ASASSN-13cu-NUV.fits.gz,ASASSN-13cu,NUV,10.041375,-10.43941666666667,2,2006-10-09,2006-11-22,2013-09-01,2,0,-2518.0,-2474.0,
ASASSN-13dd-FUV.fits.gz,ASASSN-13dd,FUV,136.903125,3.394361111111111,8,2004-01-13,2009-01-26,2013-09-24,8,0,-3541.0,-1702.0,
ASASSN-13dd-NUV.fits.gz,ASASSN-13dd,NUV,136.903125,3.394361111111111,8,2004-01-13,2009-01-26,2013-09-24,8,0,-3541.0,-1702.0,
Caleb-FUV.fits.gz,Caleb,FUV,218.1197833333333,33.536125,2,2006-04-14,2007-04-29,2005-12-12,0,2,123.0,504.0,123.0
Caleb-NUV.fits.gz,Caleb,NUV,218.1197833333333,33.536125,39,2005-05-22,2007-04-29,2005-12-12,13,26,-204.0,504.0,123.0
Cayanne-FUV.fits.gz,Cayanne,FUV,189.3629583333333,62.20213333333334,82,2004-01-25,2008-05-20,2004-08-27,44,38,-214.0,1362.0,545.0
Cayanne-NUV.fits.gz,Cayanne,NUV,189.3629583333333,62.20213333333334,131,2004-01-25,2011-03-09,2004-08-27,77,54,-214.0,2386.0,233.0
DES12C1a-FUV.fits.gz,DES12C1a,FUV,54.72708333333333,-27.54116666666667,24,2003-12-07,2008-12-12,2012-12-07,24,0,-3287.0,-1455.0,
DES12C1a-NUV.fits.gz,DES12C1a,NUV,54.72708333333333,-27.54116666666667,57,2003-12-07,2010-12-08,2012-12-07,57,0,-3287.0,-729.0,
DES12C1b-FUV.fits.gz,DES12C1b,FUV,53.77416666666667,-26.76497222222222,2,2007-10-12,2007-12-24,2012-12-07,2,0,-1883.0,-1810.0,
DES12C1b-NUV.fits.gz,DES12C1b,NUV,53.77416666666667,-26.76497222222222,5,2007-10-12,2010-11-28,2012-12-07,5,0,-1883.0,-739.0,
DES12C2a-FUV.fits.gz,DES12C2a,FUV,55.30458333333333,-28.99386111111111,2,2007-10-07,2007-10-15,2012-12-04,2,0,-1885.0,-1876.0,
DES12C2a-NUV.fits.gz,DES12C2a,NUV,55.30458333333333,-28.99386111111111,2,2007-10-07,2007-10-15,2012-12-04,2,0,-1885.0,-1876.0,
DES12C3a-FUV.fits.gz,DES12C3a,FUV,54.08291666666667,-29.01377777777778,25,2005-10-28,2007-12-25,2012-12-17,25,0,-2607.0,-1819.0,
DES12C3a-NUV.fits.gz,DES12C3a,NUV,54.08291666666667,-29.01377777777778,25,2005-10-28,2007-12-25,2012-12-17,25,0,-2607.0,-1819.0,
DES12S2b-FUV.fits.gz,DES12S2b,FUV,41.00129166666667,-0.2573888888888889,1,2003-10-27,2003-10-27,2013-02-05,1,0,-3388.0,-3388.0,
DES12S2b-NUV.fits.gz,DES12S2b,NUV,41.00129166666667,-0.2573888888888889,2,2003-10-27,2011-11-22,2013-02-05,2,0,-3388.0,-440.0,
DES13C1juw-FUV.fits.gz,DES13C1juw,FUV,54.62933333333334,-27.04277777777778,26,2003-12-07,2008-12-12,2013-10-01,26,0,-3585.0,-1753.0,
DES13C1juw-NUV.fits.gz,DES13C1juw,NUV,54.62933333333334,-27.04277777777778,62,2003-12-07,2010-12-08,2013-10-01,62,0,-3585.0,-1027.0,
DES13E1ao-FUV.fits.gz,DES13E1ao,FUV,7.281458333333333,-43.141,26,2004-09-12,2007-09-27,2013-08-29,26,0,-3272.0,-2162.0,
DES13E1ao-NUV.fits.gz,DES13E1ao,NUV,7.281458333333333,-43.141,31,2004-09-06,2007-09-27,2013-08-29,31,0,-3278.0,-2162.0,
DES13E1dcb-FUV.fits.gz,DES13E1dcb,FUV,7.744291666666666,-42.17227777777777,35,2003-10-10,2007-08-24,2013-09-07,35,0,-3620.0,-2206.0,
DES13E1dcb-NUV.fits.gz,DES13E1dcb,NUV,7.744291666666666,-42.17227777777777,36,2003-10-10,2007-08-24,2013-09-07,36,0,-3620.0,-2206.0,
DES13S1qv-FUV.fits.gz,DES13S1qv,FUV,43.193875,-0.1275277777777778,4,2008-11-18,2008-12-18,2013-08-31,4,0,-1746.0,-1717.0,
DES13S1qv-NUV.fits.gz,DES13S1qv,NUV,43.193875,-0.1275277777777778,5,2008-11-18,2009-10-25,2013-08-31,5,0,-1746.0,-1405.0,
Eagle-FUV.fits.gz,Eagle,FUV,189.3364583333333,62.22819444444445,82,2004-01-25,2008-05-20,2004-11-06,44,38,-285.0,1291.0,474.0
Eagle-NUV.fits.gz,Eagle,NUV,189.3364583333333,62.22819444444445,131,2004-01-25,2011-03-09,2004-11-06,77,54,-285.0,2315.0,162.0
Emma-FUV.fits.gz,Emma,FUV,218.6255791666667,34.44924722222222,2,2008-04-15,2009-03-23,2006-04-22,0,2,725.0,1066.0,725.0
Emma-NUV.fits.gz,Emma,NUV,218.6255791666667,34.44924722222222,38,2005-05-22,2009-03-23,2006-04-22,13,25,-335.0,1066.0,17.0
ESSENCEf123-FUV.fits.gz,ESSENCEf123,FUV,32.488675,-3.540724722222222,3,2003-11-21,2007-11-01,2003-12-01,1,2,-9.0,1432.0,1084.0
ESSENCEf123-NUV.fits.gz,ESSENCEf123,NUV,32.488675,-3.540724722222222,10,2003-11-21,2010-12-07,2003-12-01,1,9,-9.0,2564.0,1084.0
ESSENCEf301-FUV.fits.gz,ESSENCEf301,FUV,36.86045833333333,-8.706916666666666,5,2004-10-21,2007-11-06,2003-12-13,0,5,313.0,1425.0,313.0
ESSENCEf301-NUV.fits.gz,ESSENCEf301,NUV,36.86045833333333,-8.706916666666666,13,2004-10-21,2011-10-31,2003-12-13,0,13,313.0,2879.0,313.0
ESSENCEf308-FUV.fits.gz,ESSENCEf308,FUV,37.34329166666667,-8.627333333333334,3,2007-10-19,2008-10-11,2003-12-13,0,3,1406.0,1764.0,1406.0
ESSENCEf308-NUV.fits.gz,ESSENCEf308,NUV,37.34329166666667,-8.627333333333334,10,2007-10-19,2010-12-01,2003-12-13,0,10,1406.0,2546.0,1406.0
ESSENCEg097-FUV.fits.gz,ESSENCEg097,FUV,351.9048333333333,-9.589166666666667,7,2003-08-24,2008-09-07,2004-10-05,3,4,-408.0,1433.0,357.0
ESSENCEg097-NUV.fits.gz,ESSENCEg097,NUV,351.9048333333333,-9.589166666666667,16,2003-08-24,2010-09-25,2004-10-05,3,13,-408.0,2182.0,357.0
ESSENCEg133-FUV.fits.gz,ESSENCEg133,FUV,32.45679166666667,-4.181972222222223,4,2003-11-21,2007-11-01,2004-09-18,1,3,-301.0,1140.0,792.0
ESSENCEg133-NUV.fits.gz,ESSENCEg133,NUV,32.45679166666667,-4.181972222222223,42,2003-11-21,2010-12-07,2004-09-18,1,41,-301.0,2272.0,792.0
ESSENCEg142-FUV.fits.gz,ESSENCEg142,FUV,352.1570833333333,-8.751111111111111,6,2004-09-03,2006-10-16,2004-10-09,2,4,-35.0,738.0,353.0
ESSENCEg142-NUV.fits.gz,ESSENCEg142,NUV,352.1570833333333,-8.751111111111111,10,2004-09-03,2010-09-25,2004-10-09,2,8,-35.0,2178.0,353.0
ESSENCEg225-FUV.fits.gz,ESSENCEg225,FUV,351.815375,-9.46661111111111,4,2003-08-24,2008-09-07,2004-10-17,1,3,-420.0,1421.0,729.0
ESSENCEg225-NUV.fits.gz,ESSENCEg225,NUV,351.815375,-9.46661111111111,13,2003-08-24,2010-09-25,2004-10-17,1,12,-420.0,2170.0,729.0
ESSENCEg230-FUV.fits.gz,ESSENCEg230,FUV,17.984625,0.1243611111111111,5,2003-10-06,2008-09-22,2004-10-17,1,4,-376.0,1437.0,1081.0
ESSENCEg230-NUV.fits.gz,ESSENCEg230,NUV,17.984625,0.1243611111111111,14,2003-10-06,2011-09-23,2004-10-17,1,13,-376.0,2532.0,1081.0
ESSENCEg240-FUV.fits.gz,ESSENCEg240,FUV,352.6742916666666,-8.569722222222222,6,2004-09-03,2006-10-16,2004-10-13,2,4,-39.0,734.0,349.0
ESSENCEg240-NUV.fits.gz,ESSENCEg240,NUV,352.6742916666666,-8.569722222222222,10,2004-09-03,2010-09-25,2004-10-13,2,8,-39.0,2174.0,349.0
ESSENCEh300-FUV.fits.gz,ESSENCEh300,FUV,37.91945833333333,-8.817583333333333,3,2007-10-19,2008-10-11,2004-10-19,0,3,1095.0,1453.0,1095.0
ESSENCEh300-NUV.fits.gz,ESSENCEh300,NUV,37.91945833333333,-8.817583333333333,8,2007-10-19,2010-11-19,2004-10-19,0,8,1095.0,2223.0,1095.0
ESSENCEk411-FUV.fits.gz,ESSENCEk411,FUV,351.5490416666667,-8.838194444444445,8,2004-09-03,2008-08-25,2004-11-16,2,6,-73.0,1378.0,315.0
ESSENCEk411-NUV.fits.gz,ESSENCEk411,NUV,351.5490416666667,-8.838194444444445,14,2004-09-03,2010-09-25,2004-11-16,2,12,-73.0,2140.0,315.0
ESSENCEk467-FUV.fits.gz,ESSENCEk467,FUV,37.79916666666666,-7.792805555555556,3,2007-10-19,2008-10-23,2004-11-16,0,3,1067.0,1438.0,1067.0
ESSENCEk467-NUV.fits.gz,ESSENCEk467,NUV,37.79916666666666,-7.792805555555556,10,2007-10-19,2010-12-08,2004-11-16,0,10,1067.0,2214.0,1067.0
ESSENCEk490-FUV.fits.gz,ESSENCEk490,FUV,37.60133333333334,-7.889166666666666,5,2006-11-19,2008-10-23,2004-12-05,0,5,715.0,1419.0,715.0
ESSENCEk490-NUV.fits.gz,ESSENCEk490,NUV,37.60133333333334,-7.889166666666666,12,2006-11-19,2010-12-08,2004-12-05,0,12,715.0,2195.0,715.0
ESSENCEm022-FUV.fits.gz,ESSENCEm022,FUV,352.51125,-8.560166666666667,9,2003-10-18,2007-09-18,2005-09-26,3,6,-709.0,723.0,1.0
ESSENCEm022-NUV.fits.gz,ESSENCEm022,NUV,352.51125,-8.560166666666667,13,2003-10-18,2010-09-25,2005-09-26,3,10,-709.0,1826.0,1.0
ESSENCEm026-FUV.fits.gz,ESSENCEm026,FUV,352.1665416666667,-9.330555555555556,8,2004-09-03,2006-10-16,2005-09-26,2,6,-387.0,386.0,1.0
ESSENCEm026-NUV.fits.gz,ESSENCEm026,NUV,352.1665416666667,-9.330555555555556,18,2004-09-03,2010-09-25,2005-09-26,2,16,-387.0,1826.0,1.0
ESSENCEm027-FUV.fits.gz,ESSENCEm027,FUV,17.31254166666667,0.1374444444444445,3,2003-10-06,2007-10-22,2005-09-26,1,2,-720.0,756.0,742.0
ESSENCEm027-NUV.fits.gz,ESSENCEm027,NUV,17.31254166666667,0.1374444444444445,11,2003-10-06,2010-11-09,2005-09-26,1,10,-720.0,1871.0,742.0
ESSENCEm032-FUV.fits.gz,ESSENCEm032,FUV,352.39725,-9.979527777777777,8,2004-09-03,2008-08-26,2005-09-25,2,6,-386.0,1066.0,2.0
ESSENCEm032-NUV.fits.gz,ESSENCEm032,NUV,352.39725,-9.979527777777777,13,2004-09-03,2010-09-25,2005-09-25,2,11,-386.0,1827.0,2.0
ESSENCEm034-FUV.fits.gz,ESSENCEm034,FUV,36.95970833333333,-7.986555555555555,2,2006-11-19,2008-10-11,2005-09-26,0,2,420.0,1112.0,420.0
ESSENCEm034-NUV.fits.gz,ESSENCEm034,NUV,36.95970833333333,-7.986555555555555,10,2006-11-19,2010-12-11,2005-09-26,0,10,420.0,1902.0,420.0
ESSENCEm039-FUV.fits.gz,ESSENCEm039,FUV,37.01929166666667,-7.712305555555556,2,2006-11-19,2008-10-11,2005-09-26,0,2,420.0,1112.0,420.0
ESSENCEm039-NUV.fits.gz,ESSENCEm039,NUV,37.01929166666667,-7.712305555555556,10,2006-11-19,2010-12-11,2005-09-26,0,10,420.0,1902.0,420.0
ESSENCEm040-FUV.fits.gz,ESSENCEm040,FUV,36.8758375,-7.697218055555556,2,2006-11-19,2008-10-11,2005-09-26,0,2,420.0,1112.0,420.0
ESSENCEm040-NUV.fits.gz,ESSENCEm040,NUV,36.8758375,-7.697218055555556,10,2006-11-19,2010-12-11,2005-09-26,0,10,420.0,1902.0,420.0
ESSENCEm043-FUV.fits.gz,ESSENCEm043,FUV,352.4655416666666,-8.946138888888889,6,2004-09-03,2006-10-16,2005-09-26,2,4,-387.0,386.0,1.0
ESSENCEm043-NUV.fits.gz,ESSENCEm043,NUV,352.4655416666666,-8.946138888888889,10,2004-09-03,2010-09-25,2005-09-26,2,8,-387.0,1826.0,1.0
ESSENCEm057-FUV.fits.gz,ESSENCEm057,FUV,32.73654166666667,-4.458305555555556,1,2007-10-28,2007-10-28,2005-09-28,0,1,761.0,761.0,761.0
ESSENCEm057-NUV.fits.gz,ESSENCEm057,NUV,32.73654166666667,-4.458305555555556,56,2007-10-28,2010-11-21,2005-09-28,0,56,761.0,1880.0,761.0
ESSENCEm062-FUV.fits.gz,ESSENCEm062,FUV,17.470425,0.6052861111111111,5,2003-10-06,2008-09-30,2005-09-25,1,4,-719.0,1102.0,729.0
ESSENCEm062-NUV.fits.gz,ESSENCEm062,NUV,17.470425,0.6052861111111111,9,2003-10-06,2010-09-28,2005-09-25,1,8,-719.0,1830.0,729.0
ESSENCEm070-FUV.fits.gz,ESSENCEm070,FUV,38.4450875,-8.140802222222222,7,2004-10-21,2008-10-23,2005-09-28,3,4,-342.0,1122.0,38.0
ESSENCEm070-NUV.fits.gz,ESSENCEm070,NUV,38.4450875,-8.140802222222222,12,2004-10-21,2010-12-10,2005-09-28,3,9,-342.0,1900.0,38.0
ESSENCEm075-FUV.fits.gz,ESSENCEm075,FUV,351.1762083333333,-8.48575,4,2003-10-18,2008-08-25,2005-09-26,1,3,-709.0,1064.0,360.0
ESSENCEm075-NUV.fits.gz,ESSENCEm075,NUV,351.1762083333333,-8.48575,12,2003-10-18,2011-10-14,2005-09-26,1,11,-709.0,2210.0,360.0
ESSENCEm087-FUV.fits.gz,ESSENCEm087,FUV,38.40418333333334,-8.459017222222222,4,2004-10-21,2005-11-05,2004-12-15,3,1,-55.0,325.0,325.0
ESSENCEm087-NUV.fits.gz,ESSENCEm087,NUV,38.40418333333334,-8.459017222222222,9,2004-10-21,2010-12-10,2004-12-15,3,6,-55.0,2187.0,325.0
ESSENCEm138-FUV.fits.gz,ESSENCEm138,FUV,17.23479166666667,0.6570555555555556,4,2003-10-06,2008-09-30,2005-10-06,2,2,-730.0,1091.0,718.0
ESSENCEm138-NUV.fits.gz,ESSENCEm138,NUV,17.23479166666667,0.6570555555555556,8,2003-10-06,2010-09-28,2005-10-06,2,6,-730.0,1819.0,718.0
ESSENCEm158-FUV.fits.gz,ESSENCEm158,FUV,351.0147083333333,-9.388388888888889,6,2003-08-24,2008-09-07,2005-10-06,1,5,-774.0,1067.0,375.0
ESSENCEm158-NUV.fits.gz,ESSENCEm158,NUV,351.0147083333333,-9.388388888888889,11,2003-08-24,2011-10-14,2005-10-06,1,10,-774.0,2200.0,375.0
ESSENCEm193-FUV.fits.gz,ESSENCEm193,FUV,37.2175,-7.702722222222222,2,2006-11-19,2008-10-11,2005-10-06,0,2,410.0,1102.0,410.0
ESSENCEm193-NUV.fits.gz,ESSENCEm193,NUV,37.2175,-7.702722222222222,10,2006-11-19,2010-12-11,2005-10-06,0,10,410.0,1892.0,410.0
ESSENCEm226-FUV.fits.gz,ESSENCEm226,FUV,31.515375,-4.666416666666667,1,2003-11-21,2003-11-21,2005-09-26,1,0,-674.0,-674.0,
ESSENCEm226-NUV.fits.gz,ESSENCEm226,NUV,31.515375,-4.666416666666667,39,2003-11-21,2010-11-16,2005-09-26,1,38,-674.0,1877.0,1478.0
ESSENCEn246-FUV.fits.gz,ESSENCEn246,FUV,18.63783333333333,-0.4397777777777778,5,2003-10-06,2008-10-04,2005-11-22,1,4,-777.0,1048.0,680.0
ESSENCEn246-NUV.fits.gz,ESSENCEn246,NUV,18.63783333333333,-0.4397777777777778,9,2003-10-06,2010-09-28,2005-11-22,1,8,-777.0,1772.0,680.0
ESSENCEn256-FUV.fits.gz,ESSENCEn256,FUV,37.03754166666667,-7.797111111111111,2,2006-11-19,2008-10-11,2005-11-08,0,2,377.0,1069.0,377.0
ESSENCEn256-NUV.fits.gz,ESSENCEn256,NUV,37.03754166666667,-7.797111111111111,10,2006-11-19,2010-12-11,2005-11-08,0,10,377.0,1859.0,377.0
ESSENCEn258-FUV.fits.gz,ESSENCEn258,FUV,31.67645833333333,-4.376944444444444,1,2003-11-21,2003-11-21,2005-11-22,1,0,-731.0,-731.0,
ESSENCEn258-NUV.fits.gz,ESSENCEn258,NUV,31.67645833333333,-4.376944444444444,43,2003-11-21,2010-12-10,2005-11-22,1,42,-731.0,1845.0,1421.0
ESSENCEn263-FUV.fits.gz,ESSENCEn263,FUV,31.31229166666667,-4.944194444444444,2,2004-10-07,2004-10-18,2005-11-22,2,0,-410.0,-400.0,
ESSENCEn263-NUV.fits.gz,ESSENCEn263,NUV,31.31229166666667,-4.944194444444444,40,2004-10-07,2010-11-16,2005-11-22,2,38,-410.0,1820.0,1421.0
ESSENCEn278-FUV.fits.gz,ESSENCEn278,FUV,352.073125,-9.386777777777777,8,2004-09-03,2006-10-16,2005-11-24,4,4,-446.0,327.0,296.0
ESSENCEn278-NUV.fits.gz,ESSENCEn278,NUV,352.073125,-9.386777777777777,14,2004-09-03,2010-09-25,2005-11-24,4,10,-446.0,1767.0,296.0
ESSENCEn285-FUV.fits.gz,ESSENCEn285,FUV,350.9639583333333,-8.388472222222221,4,2003-10-18,2008-08-25,2005-11-08,1,3,-752.0,1021.0,317.0
ESSENCEn285-NUV.fits.gz,ESSENCEn285,NUV,350.9639583333333,-8.388472222222221,12,2003-10-18,2011-10-14,2005-11-08,1,11,-752.0,2167.0,317.0
ESSENCEn322-FUV.fits.gz,ESSENCEn322,FUV,37.252,-9.048055555555555,7,2004-10-21,2008-10-11,2005-11-22,4,3,-396.0,1054.0,696.0
ESSENCEn322-NUV.fits.gz,ESSENCEn322,NUV,37.252,-9.048055555555555,13,2004-10-21,2010-12-01,2005-11-22,4,9,-396.0,1836.0,696.0
ESSENCEn326-FUV.fits.gz,ESSENCEn326,FUV,352.494125,-8.886805555555554,6,2004-09-03,2006-10-16,2005-11-24,3,3,-446.0,327.0,291.0
ESSENCEn326-NUV.fits.gz,ESSENCEn326,NUV,352.494125,-8.886805555555554,10,2004-09-03,2010-09-25,2005-11-24,3,7,-446.0,1767.0,291.0
ESSENCEn400-FUV.fits.gz,ESSENCEn400,FUV,18.30525,-0.3905277777777778,6,2003-10-06,2008-10-04,2005-11-26,1,5,-781.0,1044.0,676.0
ESSENCEn400-NUV.fits.gz,ESSENCEn400,NUV,18.30525,-0.3905277777777778,10,2003-10-06,2010-09-28,2005-11-26,1,9,-781.0,1768.0,676.0
ESSENCEn404-FUV.fits.gz,ESSENCEn404,FUV,37.88095833333333,-8.91986111111111,3,2007-10-19,2008-10-11,2005-11-22,0,3,696.0,1054.0,696.0
ESSENCEn404-NUV.fits.gz,ESSENCEn404,NUV,37.88095833333333,-8.91986111111111,8,2007-10-19,2010-11-19,2005-11-22,0,8,696.0,1824.0,696.0
ESSENCEn406-FUV.fits.gz,ESSENCEn406,FUV,37.83166666666666,-8.752722222222221,3,2007-10-19,2008-10-11,2005-11-22,0,3,696.0,1054.0,696.0
ESSENCEn406-NUV.fits.gz,ESSENCEn406,NUV,37.83166666666666,-8.752722222222221,8,2007-10-19,2010-11-19,2005-11-22,0,8,696.0,1824.0,696.0
ESSENCEp425-FUV.fits.gz,ESSENCEp425,FUV,352.484125,-8.573416666666667,8,2003-10-18,2007-09-18,2005-11-24,4,4,-768.0,664.0,291.0
ESSENCEp425-NUV.fits.gz,ESSENCEp425,NUV,352.484125,-8.573416666666667,12,2003-10-18,2010-09-25,2005-11-24,4,8,-768.0,1767.0,291.0
ESSENCEp429-FUV.fits.gz,ESSENCEp429,FUV,351.5092333333333,-8.596660555555555,7,2004-09-03,2008-08-25,2005-11-24,3,4,-446.0,1005.0,296.0
ESSENCEp429-NUV.fits.gz,ESSENCEp429,NUV,351.5092333333333,-8.596660555555555,13,2004-09-03,2010-09-25,2005-11-24,3,10,-446.0,1767.0,296.0
ESSENCEp434-FUV.fits.gz,ESSENCEp434,FUV,18.16770833333333,0.2490555555555556,3,2003-10-06,2007-10-22,2005-11-24,1,2,-779.0,697.0,683.0
ESSENCEp434-NUV.fits.gz,ESSENCEp434,NUV,18.16770833333333,0.2490555555555556,12,2003-10-06,2011-09-23,2005-11-24,1,11,-779.0,2129.0,683.0
ESSENCEp444-FUV.fits.gz,ESSENCEp444,FUV,31.6506875,-3.692670555555556,3,2003-11-21,2007-11-01,2005-11-24,1,2,-733.0,708.0,360.0
ESSENCEp444-NUV.fits.gz,ESSENCEp444,NUV,31.6506875,-3.692670555555556,12,2003-11-21,2010-12-10,2005-11-24,1,11,-733.0,1843.0,360.0
ESSENCEp445-FUV.fits.gz,ESSENCEp445,FUV,18.3106125,0.8132386111111112,9,2004-09-26,2008-10-28,2005-11-24,1,8,-424.0,1069.0,342.0
ESSENCEp445-NUV.fits.gz,ESSENCEp445,NUV,18.3106125,0.8132386111111112,19,2004-09-26,2011-09-23,2005-11-24,1,18,-424.0,2129.0,342.0
ESSENCEp454-FUV.fits.gz,ESSENCEp454,FUV,32.13520833333333,-3.5595,3,2003-11-21,2007-11-01,2005-11-24,1,2,-733.0,708.0,360.0
ESSENCEp454-NUV.fits.gz,ESSENCEp454,NUV,32.13520833333333,-3.5595,10,2003-11-21,2010-12-07,2005-11-24,1,9,-733.0,1840.0,360.0
ESSENCEp455-FUV.fits.gz,ESSENCEp455,FUV,32.75008333333334,-4.160444444444445,1,2007-10-28,2007-10-28,2005-11-30,0,1,698.0,698.0,698.0
ESSENCEp455-NUV.fits.gz,ESSENCEp455,NUV,32.75008333333334,-4.160444444444445,12,2007-10-28,2010-12-07,2005-11-30,0,12,698.0,1834.0,698.0
ESSENCEp459-FUV.fits.gz,ESSENCEp459,FUV,32.583675,-4.553733333333333,1,2007-10-28,2007-10-28,2005-11-24,0,1,704.0,704.0,704.0
ESSENCEp459-NUV.fits.gz,ESSENCEp459,NUV,32.583675,-4.553733333333333,55,2007-10-28,2010-11-21,2005-11-24,0,55,704.0,1823.0,704.0
ESSENCEp520-FUV.fits.gz,ESSENCEp520,FUV,32.03891666666667,-3.801388888888889,3,2003-11-21,2007-11-01,2005-12-24,1,2,-763.0,678.0,330.0
ESSENCEp520-NUV.fits.gz,ESSENCEp520,NUV,32.03891666666667,-3.801388888888889,18,2003-11-21,2010-12-10,2005-12-24,1,17,-763.0,1813.0,330.0
ESSENCEp524-FUV.fits.gz,ESSENCEp524,FUV,37.54233333333333,-8.880777777777778,3,2007-10-19,2008-10-11,2005-11-28,0,3,690.0,1048.0,690.0
ESSENCEp524-NUV.fits.gz,ESSENCEp524,NUV,37.54233333333333,-8.880777777777778,12,2007-10-19,2010-12-01,2005-11-28,0,12,690.0,1830.0,690.0
ESSENCEp527-FUV.fits.gz,ESSENCEp527,FUV,32.043625,-3.53825,3,2003-11-21,2007-11-01,2005-12-27,1,2,-766.0,675.0,327.0
ESSENCEp527-NUV.fits.gz,ESSENCEp527,NUV,32.043625,-3.53825,10,2003-11-21,2010-12-07,2005-12-27,1,9,-766.0,1807.0,327.0
ESSENCEp528-FUV.fits.gz,ESSENCEp528,FUV,31.76941666666667,-3.467888888888889,3,2003-11-21,2007-11-01,2005-11-30,1,2,-739.0,702.0,354.0
ESSENCEp528-NUV.fits.gz,ESSENCEp528,NUV,31.76941666666667,-3.467888888888889,12,2003-11-21,2010-12-10,2005-11-30,1,11,-739.0,1837.0,354.0
ESSENCEp534-FUV.fits.gz,ESSENCEp534,FUV,31.23370833333333,-3.817694444444444,3,2003-11-21,2007-11-01,2005-12-24,1,2,-763.0,678.0,330.0
ESSENCEp534-NUV.fits.gz,ESSENCEp534,NUV,31.23370833333333,-3.817694444444444,12,2003-11-21,2010-12-10,2005-12-24,1,11,-763.0,1813.0,330.0
ESSENCEq002-FUV.fits.gz,ESSENCEq002,FUV,31.3039375,-3.650200833333333,3,2003-11-21,2007-11-01,2006-09-16,1,2,-1029.0,412.0,64.0
ESSENCEq002-NUV.fits.gz,ESSENCEq002,NUV,31.3039375,-3.650200833333333,12,2003-11-21,2010-12-10,2006-09-16,1,11,-1029.0,1547.0,64.0
ESSENCEq006-FUV.fits.gz,ESSENCEq006,FUV,32.71781666666666,-3.960937222222222,3,2003-11-21,2007-11-01,2006-09-16,1,2,-1029.0,412.0,64.0
ESSENCEq006-NUV.fits.gz,ESSENCEq006,NUV,32.71781666666666,-3.960937222222222,13,2003-11-21,2010-12-07,2006-09-16,1,12,-1029.0,1544.0,64.0
ESSENCEq018-FUV.fits.gz,ESSENCEq018,FUV,37.91257083333333,-8.301436111111112,4,2007-10-19,2008-10-23,2006-09-16,0,4,398.0,769.0,398.0
ESSENCEq018-NUV.fits.gz,ESSENCEq018,NUV,37.91257083333333,-8.301436111111112,12,2007-10-19,2010-12-08,2006-09-16,0,12,398.0,1545.0,398.0
ESSENCEq021-FUV.fits.gz,ESSENCEq021,FUV,38.43299583333334,-8.097236111111112,6,2004-10-21,2008-10-23,2006-09-16,3,3,-695.0,769.0,398.0
ESSENCEq021-NUV.fits.gz,ESSENCEq021,NUV,38.43299583333334,-8.097236111111112,11,2004-10-21,2010-12-10,2006-09-16,3,8,-695.0,1547.0,398.0
ESSENCEq022-FUV.fits.gz,ESSENCEq022,FUV,18.0161,-0.024707,5,2003-10-06,2008-09-22,2006-09-11,1,4,-1070.0,743.0,387.0
ESSENCEq022-NUV.fits.gz,ESSENCEq022,NUV,18.0161,-0.024707,14,2003-10-06,2011-09-23,2006-09-11,1,13,-1070.0,1838.0,387.0
ESSENCEr185-FUV.fits.gz,ESSENCEr185,FUV,17.95102083333333,-0.4970722222222222,4,2003-10-06,2008-09-22,2006-10-31,1,3,-1120.0,693.0,337.0
