file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
PSc100102-NUV.fits.gz,PSc100102,NUV,130.0189666666667,44.0326,8,2006-12-29,2008-03-24,2010-11-03,8,0,-1404.0,-954.0,
PSc100121-FUV.fits.gz,PSc100121,FUV,351.0188416666667,-0.08740555555555556,8,2003-08-25,2008-10-14,2010-10-29,8,0,-2621.0,-744.0,
PSc100121-NUV.fits.gz,PSc100121,NUV,351.0188416666667,-0.08740555555555556,14,2003-08-25,2009-10-26,2010-10-29,14,0,-2621.0,-367.0,
PSc100142-FUV.fits.gz,PSc100142,FUV,353.0523375,0.4828694444444445,125,2003-10-13,2008-10-31,2010-11-02,125,0,-2576.0,-732.0,
PSc100142-NUV.fits.gz,PSc100142,NUV,353.0523375,0.4828694444444445,130,2003-10-13,2008-10-31,2010-11-02,130,0,-2576.0,-732.0,
PSc100163-FUV.fits.gz,PSc100163,FUV,35.44234166666666,-5.1516,65,2004-10-24,2008-11-21,2010-11-10,65,0,-2208.0,-718.0,
PSc100163-NUV.fits.gz,PSc100163,NUV,35.44234166666666,-5.1516,93,2004-10-24,2010-11-12,2010-11-10,91,2,-2208.0,3.0,1.0
PSc100164-FUV.fits.gz,PSc100164,FUV,35.3704875,-5.026116666666667,65,2004-10-24,2008-11-21,2010-10-29,65,0,-2196.0,-706.0,
PSc100164-NUV.fits.gz,PSc100164,NUV,35.3704875,-5.026116666666667,93,2004-10-24,2010-11-12,2010-10-29,84,9,-2196.0,15.0,1.0
PSc100206-FUV.fits.gz,PSc100206,FUV,52.518175,-28.25669166666666,27,2003-12-03,2008-12-12,2010-11-07,27,0,-2530.0,-695.0,
PSc100206-NUV.fits.gz,PSc100206,NUV,52.518175,-28.25669166666666,55,2003-12-03,2010-12-08,2010-11-07,46,9,-2530.0,31.0,13.0
PSc100358-FUV.fits.gz,PSc100358,FUV,352.4444583333333,0.5905055555555556,12,2003-08-25,2008-08-29,2010-11-07,12,0,-2630.0,-799.0,
