t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
760458955.995,760460394.995,760459641.9139811,760458960.36,760460389.585,0.08980516456571878,0.016270852122714327,1.849986390053807e-17,3.3517955372791513e-18,22.69674671741031,0.1807897248246526,0.21702819245016158,0.07170889037535999,0.016703313243671636,1.4772031417324157e-17,3.440882528196357e-18,22.941067494316986,0.22734803237592516,0.2879156912782612,0.212883089018822,0.012951988148713203,4.385391633787733e-17,2.6681095586349195e-18,21.7596470915605,0.06412558740583663,0.06815201511943769,265.0,270.1527856233737,551.0,542.3204268576455,1269.0194738741704,156.18828293500195,179.15280728713378,0.9812210137109145,176.81695556640625,473.2198486328125,234.8868186094304,149.56555410738076,1.7548042509719861,11.464151382446289,0.0
760476718.995,760478151.995,760477441.0876482,760476721.1,760478150.345,0.11124748084368456,0.01659793510278666,2.291698105379902e-17,3.4191746311740516e-18,22.46427453666699,0.15098743787315883,0.1754291284311904,0.08577483410937446,0.01719674448389431,1.7669615826531137e-17,3.5425293636822276e-18,22.746600283017795,0.1983937097467603,0.24293625988281065,0.22901023751314536,0.01348835155148905,4.717610892770794e-17,2.7786004196067442e-18,21.680362757075077,0.06213579727412366,0.06590879601304067,270.0,288.2650835596152,549.0,514.6981646275409,1258.7432190365228,148.23307141273182,180.2965927604575,0.9369670990526561,180.8799591064453,325.0156555175781,231.59500046126124,149.56560901734554,1.7548958333532794,11.796296119689941,0.0
760547771.995,760549180.995,760548515.6446154,760547780.415,760549177.44,0.10046104673759038,0.016730732077152366,2.0694975627943617e-17,3.4465308078933872e-18,22.575005752729865,0.16724861852582862,0.19778743902023876,0.07779201834449904,0.017267400409009186,1.6025155778966804e-17,3.5570844842558925e-18,22.85266240105934,0.21765028717763713,0.2725074573956867,0.22411938688388583,0.013430858543295216,4.616859369808048e-17,2.7667568599188144e-18,21.703801435720315,0.06319014434712145,0.06709634028091571,260.0,278.45261535348334,571.0,533.4611545713992,1242.4298460969244,153.636812516563,181.80148997415827,0.9340599887660508,192.58926391601562,340.01959228515625,215.9093855128561,149.56559445839903,1.7549159471608238,12.038461685180664,0.0
760601062.995,760601686.995,760601393.0062037,760601066.225,760601681.11,0.0908837259315695,0.024490777743167304,1.8722047541903318e-17,5.045100215092465e-18,22.683784691583995,0.25905930599098426,0.34091042345608713,0.06440638550044701,0.02545388777737448,1.3267715413092085e-17,5.243500882139143e-18,23.05767768213884,0.3615970196639928,0.5459840407236065,0.2105180774903255,0.01955645019285232,4.336672396300705e-17,4.028628739727578e-18,21.771776511836826,0.09644785969273784,0.1058582209237855,108.0,115.87739890438112,245.0,228.650815676355,550.4391845384696,65.85143491479025,80.42560059044476,0.932282998559153,185.61195373535156,322.6623229980469,227.91083928859433,149.5654199046989,1.7547715400537098,12.092592239379883,0.0
760624745.995,760626135.995,760625432.5840151,760624746.345,760626134.54,0.10194775933545966,0.017018183697934505,2.100123842310469e-17,3.505745841774508e-18,22.559055787366376,0.16761241627677848,0.1982968274405934,0.08181336645603232,0.017498995569749685,1.6853553489942657e-17,3.604793087368435e-18,22.797939341559147,0.21044761953040592,0.26129059396580345,0.22665475108679614,0.013668422177885636,4.6690878723880004e-17,2.8156949686444412e-18,21.691587932312345,0.06357705694745874,0.06753274770545303,264.0,274.97479395393583,545.0,525.3229489181211,1213.1878667243811,151.29300928841892,175.71981043360194,0.9603300730429843,181.6377410888672,412.78631591796875,218.7362932654906,149.56550395333258,1.7547164557942763,12.0,0.0
760655356.995,760655735.995,760655568.2178289,760655369.335,760655728.6,0.09700519327894142,0.034044452986084064,1.998306981546193e-17,7.013157315133318e-18,22.61301253670518,0.3266021692487229,0.46931289874779125,0.08709914411807221,0.03448302200729758,1.7942423688322876e-17,7.103502533503302e-18,22.729965281442514,0.36213997286836985,0.5472376266648666,0.23951453987108637,0.026956719685044275,4.933999521344379e-17,5.553084255119121e-18,21.631670293367684,0.11579623025189889,0.12963698746562713,76.0,78.94591818420321,170.0,163.09800867591338,329.6080406087003,46.97222649866306,50.237339952750624,0.9629603211094313,188.3318328857422,414.0580139160156,212.1344873535943,149.56550145176325,1.7548684034491615,12.013157844543457,0.0
760695800.995,760696905.995,760696395.2434781,760695821.275,760696899.415,0.10233116024969371,0.01879276881107298,2.1080219011436904e-17,3.8713103750810336e-18,22.55498025433389,0.1830551297893983,0.2203044743780822,0.07802552756049703,0.019449438863083323,1.6073258677462388e-17,4.006584405795164e-18,22.84940821555314,0.24164095120842433,0.3112908615524077,0.22207590945996494,0.015147548175618872,4.5747637348752775e-17,3.1203949241774875e-18,21.713746376659618,0.07164045578040046,0.07670357713559284,207.0,214.94047972866042,417.0,402.4211108032149,967.8694111907223,115.89727991132592,139.4219583108367,0.963227027396807,167.63858032226562,396.1612548828125,232.39312665981956,149.5654528688437,1.754816829829572,11.164251327514648,0.0
760719484.995,760720858.995,760720181.4768084,760719486.47,760720858.055,0.08248475440633694,0.01648208197117768,1.699185940770541e-17,3.3953088860626017e-18,22.78906578586906,0.19779000490967036,0.24203041314195417,0.05909237836150387,0.017059580687726512,1.2173029942469797e-17,3.514273621671662e-18,23.151171325250086,0.2753740259248829,0.3698579314846242,0.20527599764458573,0.013037662137392644,4.228685551478466e-17,2.6857584003028846e-18,21.799154571287538,0.06685684668430625,0.07124543501315017,235.0,247.90021201355216,541.0,514.8890257887431,1207.6434403342464,148.28803942715803,176.53768891153265,0.9482440504393883,169.5769805908203,377.6183166503906,231.50746774824648,149.56545761839874,1.7548093863800254,11.727659225463867,0.0
760784613.995,760785794.995,760785224.1821501,760784614.02,760785792.94,0.060881841114102685,0.01768315777586387,1.2541659269505153e-17,3.6427305018279575e-18,23.11878055659218,0.27685332835546106,0.37254316824852296,0.04873202555564227,0.01801001941000508,1.0038797264462307e-17,3.710063998461046e-18,23.360463841782973,0.3414626148742741,0.500912228977441,0.1932618305792934,0.01362268704398686,3.9811937099334436e-17,2.806273531061293e-18,21.864634777831455,0.07395475555470199,0.07936278263887075,193.0,201.26424038392707,499.0,478.68562312807626,1041.407088925148,137.861459460886,150.51436351259974,0.9591777411389272,173.406494140625,397.09808349609375,226.61208709386676,149.5655389352321,1.7548871908039807,11.652850151062012,0.0
760808296.995,760809668.995,760808999.9882638,760808297.615,760809648.02,0.10935288406726218,0.016240166014446587,2.252669411785601e-17,3.3454741989759966e-18,22.482924396038193,0.15033841502931722,0.17455309315914036,0.062184592591374044,0.017415035907082037,1.2810026073823053e-17,3.5874973968588996e-18,23.09579301662636,0.26807061871403093,0.35674999850498423,0.2119874463329555,0.01333063957567382,4.366941394458883e-17,2.7461117525888065e-18,21.764224641896895,0.06621477494672234,0.07051673242879986,216.0,252.88223058554928,497.0,425.1178268436188,1192.9113490445227,122.43393413096224,178.70152434758924,0.8544898305602904,419.1216735839844,185.91436767578125,214.93788955954932,149.56556473732934,1.754851377725743,12.925926208496094,0.0
