Target,Redshift,Distance [Mpc],Phase,Rest Phase,Limiting Magnitude,Limiting Magnitude Error,Log Luminosity,Luminosity [erg/s/Hz],Luminosity [erg/s/A]
ASASSN-150g,0.06831,308,477,446,25.91,0.08,26.06,1.15E+26,4.67E+37
SN 2015cp,0.038,167,664,640,25.97,0.06,25.88,7.59E+25,3.09E+37
