z,FUV,NUV,F275W
0.0,0.19385847703895479,0.22857519485250052,1.2178326936783568
0.001,0.19159485970905207,0.2223462009696087,1.2054193564468167
0.002,0.1898974228230214,0.2169482971885737,1.193218993861692
0.003,0.18858918804026534,0.2120502320213878,1.181217788361187
0.004,0.18749737925674498,0.20736655408955898,1.1694208708403477
0.005,0.18655385492134904,0.202747634101351,1.1578658183226664
0.006,0.18577431981190515,0.19815262738531794,1.1466175765014102
0.007,0.18517942677896004,0.19358973111403324,1.135765467668632
0.008,0.18474383360487526,0.1890867110826568,1.1254040548655673
0.009000000000000001,0.18440735647503306,0.1846712225413513,1.115592380353279
0.01,0.18411477672168558,0.18034734578366185,1.1063655410562947
0.011,0.18383569163930646,0.17608635920902196,1.0977858912722145
0.012,0.183559085132974,0.17184768416666457,1.0899230153633856
0.013000000000000001,0.1832821080352248,0.1676092883393694,1.0827925510056828
0.014,0.18300433012295544,0.16338314077661756,1.0764147850943646
0.015,0.18272566138431945,0.15922870403562697,1.070845166131886
0.016,0.1824460981010792,0.1552856703703032,1.0660731952951397
0.017,0.1821656687691378,0.15178771045459793,1.0620140587295472
0.018000000000000002,0.18188434351714383,0.14897448271734492,1.0585807984982594
0.019,0.1816022866089854,0.14692736290216138,1.0557133293005911
0.02,0.18131971698897012,0.1455029832478263,1.0533415034747735
0.021,0.1810372509519965,0.1444527764842608,1.051371092825938
0.022,0.1807554299262309,0.14357846997794324,1.0497002278761085
0.023,0.18047452494912225,0.1427792919184931,1.0482548041048334
0.024,0.18019423359225112,0.14201475445725584,1.046952454671549
0.025,0.1799138832459155,0.14126639407283467,1.045675158831929
0.026000000000000002,0.17963301366541354,0.14052450741846587,1.0443324364358786
0.027,0.17935138668014297,0.13978767604451134,1.0428626850042415
0.028,0.1790688975654841,0.139066504835111,1.0411871400981878
0.029,0.17878547671883627,0.13838877262444507,1.0392168069224814
0.03,0.17850118395238496,0.13779570041721828,1.0369102250916682
0.031,0.17821606694831651,0.13732133683938705,1.0342678030552392
0.032,0.17793036669179574,0.13697281410966666,1.0312878564908787
0.033,0.1776452695202089,0.1367426082935071,1.0279869143310756
0.034,0.17736393993250013,0.13664752534700436,1.0244363781317343
0.035,0.17709020924765376,0.13674336090393238,1.0207554217596029
0.036000000000000004,0.17681410079547497,0.13708063271333618,1.0170510440749345
0.037,0.1764805272260582,0.1376451273606903,1.01336490627948
0.038,0.17596566514294062,0.13835863300502407,1.009702366833027
0.039,0.1751163509455838,0.1391365978293492,1.006078524703467
0.04,0.17384839298546992,0.1399307591356518,1.002521286476858
0.041,0.17220875266447264,0.1407262423669813,0.9990526622642382
0.042,0.1703299892077322,0.14152168400654122,0.9956946219359094
0.043000000000000003,0.16833788993338145,0.14231774289282667,0.9924847409315832
0.044,0.16630459247504972,0.1431139916682476,0.989456670669988
0.045,0.16425789696081491,0.1439071635880415,0.9866205142397145
0.046,0.16220524822307894,0.14468758334987203,0.983971044330127
0.047,0.16014812994154226,0.14543600907860738,0.9814999407757176
0.048,0.1580866806515786,0.14612736007135776,0.9791878095591933
0.049,0.15602041906964131,0.146743016949521,0.9770011675468929
0.05,0.15394819059159273,0.14728098805389148,0.9749067034539921
0.051000000000000004,0.1518680532705747,0.14775381020269884,0.9728779481890146
0.052000000000000005,0.14977785412114267,0.1481822121704789,0.9708864821826174
0.053,0.1476765687256498,0.14859338125756574,0.9688976726749395
0.054,0.14556518864591272,0.149016298440759,0.9668796528344795
0.055,0.1434458916863065,0.14946916329584492,0.9648054191062667
0.056,0.14132057471089643,0.14995227530817476,0.9626409183186161
0.057,0.13919042085288477,0.1504549084212076,0.9603340114922868
0.058,0.13705584420552663,0.15096654743980928,0.957829501656142
0.059000000000000004,0.13491721929274647,0.15148150766460394,0.9550993822486871
0.06,0.13277597839905464,0.15199777099831788,0.9521429848007705
0.061,0.1306391297310069,0.15251487328921062,0.9489684902518372
0.062,0.12853032882041732,0.1530329255153377,0.9455866284431882
0.063,0.12650524193141816,0.15355295176390168,0.9420327446922673
0.064,0.12464881665034488,0.154078765896116,0.9383449449161732
0.065,0.12302769259459884,0.15462000501499137,0.9345750896499833
0.066,0.12162498329523137,0.15519187386606728,0.9307631601578891
0.067,0.12032999080478898,0.15579971056184705,0.9269213668941934
0.068,0.1190151316218734,0.1563941301257282,0.923026695230272
0.069,0.11761534509775752,0.15679489733774318,0.919029828532197
0.07,0.11613674769816373,0.15663661762604972,0.91485554018506
0.07100000000000001,0.11461273739174548,0.15545850286039117,0.9103992142034095
0.07200000000000001,0.11306941173240564,0.1530034041055438,0.9055512919323746
0.073,0.11151849674445297,0.14953444355078446,0.9002353917707366
0.074,0.10996402990808372,0.14583141010608974,0.8944141874196233
0.075,0.10840907237646712,0.14278563017293355,0.8880562703104153
0.076,0.10686415385428111,0.14091023053695653,0.8810934635317659
0.077,0.10536279563936558,0.14016453389965672,0.8733784663671023
0.078,0.10398159682934363,0.14017052340448996,0.8646686674563647
0.079,0.1028378325787436,0.14054073374771353,0.8546831149653055
0.08,0.10204198832114666,0.14104205077153573,0.8431883494890369
0.081,0.1016237111532507,0.14157907217661253,0.8299762180837177
0.082,0.10151260180576273,0.14212400742720063,0.8147943576421615
0.083,0.10158656094367029,0.14267097068198462,0.7974062660195811
0.084,0.10173758091385435,0.1432190529125063,0.7777303249678192
0.085,0.10188606541269075,0.14376837287695893,0.7558209084429284
0.08600000000000001,0.10195648459836505,0.14432054910088965,0.7317599062423723
0.08700000000000001,0.1018583531471027,0.14488269455955785,0.7056980890922796
