name,SDSS,ESSENCE,PanSTARRS,PanSTARRS2,SNLS,rochester,Nspec,OSC,manual,total
PSc070402,0,0,0.8975,0,0,0,0,1,0,0.8975
PSc070470,0,0,0.7593,0,0,0,0,1,0,0.7593
PSc070530,0,0,0,0,0,0,0,1,-1,-1
PSc070567,0,0,0.9461,0,0,0,0,1,0,0.9461
PSc071032,0,0,0.6879,0,0,0,0,1,0,0.6879
PSc080064,0,0,1,1,0,0,0,1,0,2
PSc080438,0,0,0.9766,0,0,0,0,1,0,0.9766
PSc080646,0,0,1,1,0,0,0,1,0,2
PSc080723,0,0,1,1,0,0,0,1,0,2
PSc090107,0,0,0.7327,0,0,0,0,1,0,0.7327
PSc090147,0,0,0.7233,0,0,0,0,1,0,0.7233
PSc090275,0,0,1,1,0,0,0,1,0,2
PSc091748,0,0,1,1,0,0,0,1,0,2
PSc100163,0,0,1,1,0,0,0,1,0,2
PSc100164,0,0,0.9568,0,0,0,0,1,0,0.9568
PSc100206,0,0,1,1,0,0,0,1,0,2
PSc100405,0,0,1,1,0,0,0,1,0,2
PSc110014,0,0,0.7893,0,0,0,0,1,0,0.7893
PSc110422,0,0,0,0,0,0,0,1,-1,-1
PSc110725,0,0,0.8173,0,0,0,0,1,0,0.8173
PSc120111,0,0,0,0,0,0,0,1,-1,-1
PSc120706,0,0,0.8808,0,0,0,0,1,0,0.8808
PSc130373,0,0,0.8951,0,0,0,0,1,0,0.8951
PSc140210,0,0,0.8787,0,0,0,0,1,0,0.8787
PSc150210,0,0,0.9764,0,0,0,0,1,0,0.9764
PSc180255,0,0,0.9821,0,0,0,0,1,0,0.9821
PSc180561,0,0,1,1,0,0,0,1,0,2
PSc380204,0,0,0,0,0,0,0,1,-1,-1
PSc500020,0,0,0.827,0,0,0,0,1,0,0.827
PSc500043,0,0,0.5561,0,0,0,0,1,0,0.5561
PSc500065,0,0,0,0,0,0,0,1,-1,-1
PSc550031,0,0,0.8688,0,0,0,0,1,0,0.8688
PSc580072,0,0,0.5556,0,0,0,0,1,0,0.5556
PTF09foz,0,0,0,0,0,0,4,1,1,1
PTF10cko,0,0,0,0,0,0,1,1,1,1
PTF10cwm,0,0,0,0,0,0,1,1,1,1
PTF10fej,0,0,0,0,0,0,1,1,1,1
PTF10gsp,0,0,0,0,0,0,1,1,1,1
PTF10nda,0,0,0,0,0,0,1,1,1,1
PTF10qna,0,0,0,0,0,0,1,1,1,1
PTF10rbp,0,0,0,0,0,0,1,1,1,1
PTF10trp,0,0,0,0,0,0,2,1,1,1
PTF10ujt,0,0,0,0,0,0,1,1,1,1
PTF10vnu,0,0,0,0,0,0,1,1,1,1
PTF11dej,0,0,0,0,0,1,0,1,0,1
SDSS-II SN 10036,0.982,0,0,0,0,0,0,1,0,0.982
SDSS-II SN 10066,0.996,0,0,0,0,0,0,1,0,0.996
SDSS-II SN 10113,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 10146,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 10299,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 10450,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 10506,0.984,0,0,0,0,0,0,1,0,0.984
SDSS-II SN 10524,0.985,0,0,0,0,0,0,1,0,0.985
SDSS-II SN 10559,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 10843,0.971,0,0,0,0,0,0,1,0,0.971
SDSS-II SN 11026,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 11098,0.951,0,0,0,0,0,0,1,0,0.951
SDSS-II SN 11156,0.817,0,0,0,0,0,0,1,0,0.817
SDSS-II SN 11181,0.969,0,0,0,0,0,0,1,0,0.969
SDSS-II SN 11305,0,0,0,0,0,0,0,-1,-1,-1
SDSS-II SN 11317,0.948,0,0,0,0,0,0,1,0,0.948
SDSS-II SN 11370,0.992,0,0,0,0,0,0,1,0,0.992
SDSS-II SN 11518,0.994,0,0,0,0,0,0,1,0,0.994
SDSS-II SN 1166,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 11771,0.951,0,0,0,0,0,0,1,0,0.951
SDSS-II SN 11858,0.925,0,0,0,0,0,0,1,0,0.925
SDSS-II SN 12199,0.997,0,0,0,0,0,0,1,0,0.997
SDSS-II SN 12213,0.961,0,0,0,0,0,0,1,0,0.961
SDSS-II SN 12804,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 12852,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 12875,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 12879,0.992,0,0,0,0,0,0,1,0,0.992
SDSS-II SN 12936,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 12941,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 12974,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 12978,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 1302,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13076,-1,0,0,0,0,0,0,-1,0,-1
SDSS-II SN 13096,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13101,0.987,0,0,0,0,0,0,1,0,0.987
SDSS-II SN 13108,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13147,0.74,0,0,0,0,0,0,1,0,0.74
SDSS-II SN 13168,0.973,0,0,0,0,0,0,1,0,0.973
SDSS-II SN 13177,0.997,0,0,0,0,0,0,1,0,0.997
