name,disc_date,galex_ra,galex_dec,osc_host,epochs_total,epochs_pre,epochs_post,delta_t_first,delta_t_last,delta_t_next,ned_objname,ned_ra,ned_dec,posn_ref,ned_type,z,z_err,z_ref,h_dist,h_dist_err,a_v,a_k,sep,offset,offset_verdict,z_indep_dist,z_indep_dist_err,z_indep_ref,pgc,pref_dist,pref_dist_err,pref_dist_ref,P_Ia
SDSS-II SN 15255,2006-10-02,22h12m24s,-0d15m32.5188s,SDSS J21224.16-001532.4,52,9,43,786,1418,689,SDSS-II SN 15255,22h12m24.163s,-00d15m32.44s,2007SDSS6.C...0000:,G,0.302,,2011ApJ...738..162S,1288.31,90.28,0.21,0.023,0.04,15.35003337,,,,,,1288.31,90.28,2011ApJ...738..162S,1.0
SDSS-II SN 15272,2006-10-02,23h23m05.552s,0d05m04.06s,SDSS J32305.28+000503.6,19,8,11,1133,1120,693,WISEA J232305.27+000503.9,23h23m05.282s,+00d05m03.80s,2007SDSS6.C...0000:,G,0.2803,0.01,2011ApJ...738..162S,1195.2,94.09,0.125,0.013999999999999999,0.068,23.63574508,,,,,,1195.2,94.09,2011ApJ...738..162S,1.0
SDSS-II SN 15291,2006-10-02,22h32m20.137s,-1d09m06.16s,SDSS J23220.13-010906.6,2,1,1,768,1836,1837,SDSS-II SN 15291,22h32m20.119s,-01d09m06.41s,2010ApJ...713.1026D,VisS,0.276,,2011ApJ...738..162S,1176.87,82.49,0.19699999999999998,0.022000000000000002,0.006,2.11016539,,,,,,1176.87,82.49,2011ApJ...738..162S,0.983
SDSS-II SN 15294,2006-10-12,21h13m54.05s,-0d43m54.9s,,23,4,19,26,1763,668,WISEA J211354.15-004352.2,21h13m54.183s,-00d43m51.90s,2007SDSS6.C...0000:,G,0.34700000000000003,,2010ApJ...713.1026D,1481.55,103.8,0.154,0.017,0.06,25.97558402,,,,,,1481.55,103.8,2010ApJ...713.1026D,0.988
SDSS-II SN 15324,2006-10-12,2h06m46.477s,-0d50m20.45s,SDSS J20646.39-005017.8,8,6,2,1092,737,737,WISEA J020646.41-005018.1,02h06m46.384s,-00d50m17.62s,2007SDSS6.C...0000:,G,0.38799999999999996,,2010ApJ...713.1026D,1657.91,116.13,0.09699999999999999,0.011000000000000001,0.053,25.43599924,,,,,5193327.0,1657.91,116.13,2010ApJ...713.1026D,0.985
SDSS-II SN 15347,2006-10-11,21h41m37.256s,1d12m15.07s,SDSS J14137.24+011215.8,6,4,2,1137,698,699,SDSS-II SN 15347,21h41m37.236s,+01d12m15.86s,2007SDSS6.C...0000:,G,0.244,,2011ApJ...738..162S,1040.12,72.94,0.14300000000000002,0.016,0.013999999999999999,4.284177188,,,,,,1040.12,72.94,2011ApJ...738..162S,1.0
SDSS-II SN 15353,2006-10-21,23h21m09.998s,-0d10m33.02s,SDSS J32109.99-001032.9,10,6,4,1152,1100,725,WISEA J232109.98-001032.7,23h21m09.995s,-00d10m32.98s,2007SDSS6.C...0000:,G,0.2996,0.0005,2011ApJ...738..162S,1277.86,89.58,0.111,0.012,0.001,0.37479509200000005,,,,,,1277.86,89.58,2011ApJ...738..162S,0.9990000000000001
SDSS-II SN 15359,2006-10-11,23h09m49.53s,0d18m38.2s,SDSS J30949.54+001839.1,8,6,2,1142,730,730,SDSS-II SN 15359,23h09m49.497s,+00d18m37.80s,2010ApJ...713.1026D,VisS,0.262,0.018000000000000002,2010ApJ...713.1026D,1193.91,83.68,0.125,0.013999999999999999,0.011000000000000001,3.702516718,,,,,,1193.91,83.68,2011ApJ...738..162S,1.0
SDSS-II SN 15401,2006-10-12,22h03m25.2s,0d34m34.93s,SDSS J20325.29+003434.8,13,9,4,796,679,287,SDSS-II SN 15401,22h03m25.284s,+00d34m34.83s,2007SDSS6.C...0000:,G,0.337,,2011ApJ...738..162S,1438.25,100.77,0.16399999999999998,0.018000000000000002,0.021,8.850381841,,,,,,1438.25,100.77,2011ApJ...738..162S,0.965
SDSS-II SN 15417,2006-10-12,1h02m13.895s,0d27m43.16s,,10,2,8,1101,394,360,SDSS-II SN 15417,01h02m13.889s,+00d27m42.77s,2010ApJ...713.1026D,VisS,0.27699999999999997,,2011ApJ...738..162S,1181.65,82.83,0.091,0.01,0.006999999999999999,2.303610803,,,,,,1181.65,82.83,2011ApJ...738..162S,1.0
SDSS-II SN 15418,2006-10-12,0h55m23.138s,1d00m46.13s,,12,2,10,1101,746,348,SDSS-II SN 15418,00h55m23.138s,+01d00m46.13s,2011ApJ...738..162S,VisS,0.365,,2011ApJ...738..162S,1558.46,109.17,0.071,0.008,0.0,0.0,,,,,,1558.46,109.17,2011ApJ...738..162S,0.9520000000000001
SDSS-II SN 15419,2006-10-12,1h19m37.254s,0d53m08.56s,SDSS J11937.25+005308.4,12,4,8,746,724,47,SDSS J011937.25+005308.4,01h19m37.258s,+00d53m08.55s,2007SDSS6.C...0000:,G,0.267,,2010ApJ...713.1026D,1139.02,79.85,0.086,0.009000000000000001,0.001,0.3374506,,,,,,1139.02,79.85,2010ApJ...713.1026D,1.0
SDSS-II SN 15422,2006-10-12,2h18m37.224s,0d31m53.317s,SDSS J21837.24+003153.2,4,2,2,1053,743,743,SDSS-II SN 15422,02h18m37.247s,+00d31m53.31s,2007SDSS6.C...0000:,G,0.29600000000000004,,2011ApJ...738..162S,1264.08,88.59,0.125,0.013999999999999999,0.005,2.122258414,,,,,5201895.0,1264.08,88.59,2011ApJ...738..162S,0.938
SDSS-II SN 15455,2006-10-11,22h00m19.333s,-1d03m04.91s,SDSS J20019.27-010305.7,14,8,6,49,694,297,WISEA J220019.25-010305.7,22h00m19.263s,-01d03m05.72s,2007SDSS6.C...0000:,G,0.395,,2010ApJ...713.1026D,1686.69,118.15,0.24100000000000002,0.027000000000000003,0.023,10.88375386,,,,,,1686.69,118.15,2010ApJ...713.1026D,0.9890000000000001
SDSS-II SN 15467,2006-10-21,21h20m04.8s,-0d10m38.48s,SDSS J12004.82-001038.4,8,4,4,35,668,634,SDSS J212004.78-001038.7,21h20m04.826s,-00d10m38.48s,2011ApJ...740...92G,G,0.21043,9e-05,2011ApJ...740...92G,896.58,62.91,0.155,0.017,0.006,1.705180445,,,,,,896.58,62.91,2011ApJ...740...92G,1.0
SDSS-II SN 15470,2006-10-11,22h11m33.12s,-0d02m46.824s,SDSS J21133.14-000247.1,52,9,43,795,1409,680,SDSS J221133.14-000246.9,22h11m33.141s,-00d02m46.92s,2007SDSS6.C...0000:,G,0.23364000000000001,4e-05,2016SDSSD.C...0000:,995.57,69.82,0.172,0.019,0.005,1.598608199,,,,,,995.57,69.82,2016SDSSD.C...0000:,0.968
SDSS-II SN 15496,2006-10-13,0h32m17.758s,0d16m28.35s,SDSS J03217.76+001628.2,10,2,8,3,344,327,SDSS J003217.76+001628.2,00h32m17.785s,+00d16m28.08s,2007SDSS6.C...0000:,G,0.237,,2010ApJ...713.1026D,1010.07,70.84,0.057999999999999996,0.006,0.008,2.3969107999999997,,,,,,1010.07,70.84,2010ApJ...713.1026D,1.0
SDSS-II SN 15505,2006-10-11,23h37m58.32s,-0d53m03.696s,,14,10,4,1093,686,344,SDSS-II SN 15505,23h37m58.409s,-00d53m03.70s,2011ApJ...738..162S,VisS,0.45299999999999996,,2011ApJ...738..162S,1934.87,135.51,0.09,0.01,0.022000000000000002,12.56549202,,,,,,1934.87,135.51,2011ApJ...738..162S,0.943
SDSS-II SN 15516,2006-10-13,2h00m54.408s,0d39m24.433s,SDSS J20054.41+003924.2,7,4,3,738,1105,1105,SDSS-II SN 15516,02h00m54.425s,+00d39m24.42s,2007SDSS6.C...0000:,G,0.376,,2011ApJ...738..162S,1606.41,112.53,0.064,0.006999999999999999,0.004,1.994755818,,,,,,1606.41,112.53,2011ApJ...738..162S,0.973
SDSS-II SN 15525,2006-10-13,3h26m06.648s,1d07m50.97s,,6,2,4,1053,793,794,SDSS-II SN 15525 HOST,03h26m06.626s,+01d07m50.59s,2010ApJ...713.1026D,G,0.355,,2010ApJ...713.1026D,1518.02,106.35,0.315,0.035,0.008,3.712308241,,,,,,1518.02,106.35,2010ApJ...713.1026D,0.9640000000000001
SDSS-II SN 15533,2006-10-20,23h35m27.111s,-0d22m24.11s,SDSS J33527.09-002223.9,8,6,2,1102,334,335,WISEA J233527.09-002223.8,23h35m27.097s,-00d22m23.99s,2007SDSS6.C...0000:,G,0.34446,7e-05,2016SDSSD.C...0000:,1470.0,102.99,0.098,0.011000000000000001,0.004,1.731070725,,,,,,1470.0,102.99,2016SDSSD.C...0000:,0.9990000000000001
SDSS-II SN 15539,2006-10-14,22h07m48s,0d10m00.9588s,,20,11,9,798,1079,698,SDSS-II SN 15539,22h07m48.036s,+00d10m00.96s,2011ApJ...738..162S,VisS,0.20800000000000002,,2011ApJ...738..162S,885.75,62.15,0.237,0.026000000000000002,0.009000000000000001,2.318893804,,,,,,885.75,62.15,2011ApJ...738..162S,0.992
SDSS-II SN 15549,2006-10-11,21h34m02.596s,0d38m03.12s,SDSS J13402.61+003800.9,512,186,326,439,1437,277,SDSS-II SN 15549,21h34m02.617s,+00d38m01.13s,2007SDSS6.C...0000:,G,0.429,,2011ApJ...738..162S,1832.51,128.35,0.16399999999999998,0.018000000000000002,0.034,17.95900558,,,,,,1832.51,128.35,2011ApJ...738..162S,1.0
SDSS-II SN 15587,2006-10-22,3h37m40.142s,0d59m54.16s,SDSS J33740.30+005954.1,4,2,2,1060,773,773,WISEA J033740.30+005954.0,03h37m40.304s,+00d59m54.24s,2007SDSS6.C...0000:,G,0.21886,5.9999999999999995e-05,2003SDSS1.C...0000:,935.22,65.61,0.257,0.027999999999999997,0.04,11.0562023,,,,,3519565.0,935.22,65.61,2003SDSS1.C...0000:,1.0
SDSS-II SN 15603,2006-10-29,23h43m46.194s,-1d11m32.49s,SDSS J34346.18-011131.7,16,14,2,1162,327,327,SDSS-II SN 15603,23h43m46.181s,-01d11m31.81s,2007SDSS6.C...0000:,G,0.054000000000000006,,2011ApJ...738..162S,226.07,16.4,0.081,0.009000000000000001,0.012,0.793709065,,,,,,226.07,16.4,2011ApJ...738..162S,1.0
SDSS-II SN 15633,2006-10-16,23h35m37.68s,-0d50m21.2s,SDSS J33537.70-005021.1,8,6,2,1098,338,339,SDSS J233537.70-005021.1,23h35m37.718s,-00d50m21.24s,2007SDSS6.C...0000:,G,0.45119,0.00022999999999999998,2016SDSSD.C...0000:,1927.1,134.97,0.08800000000000001,0.01,0.009000000000000001,5.35672239,,,,,,1927.1,134.97,2016SDSSD.C...0000:,0.996
SDSS-II SN 15655,2006-10-17,22h04m42.48s,0d47m08.736s,,13,9,4,801,674,282,SDSS-II SN 15655,22h04m42.396s,+00d47m08.74s,2011ApJ...738..162S,VisS,0.14800000000000002,,2011ApJ...738..162S,628.8,44.23,0.139,0.015,0.021,3.8746504639999997,,,,,,628.8,44.23,2011ApJ...738..162S,0.985
SDSS-II SN 15675,2006-10-17,22h52m41.693s,0d21m51.24s,SDSS J25241.58+002149.6,14,12,2,796,722,723,WISEA J225241.59+002149.6,22h52m41.589s,+00d21m49.70s,2007SDSS6.C...0000:,G,0.2345,0.0005,2011ApJ...738..162S,999.06,70.1,0.252,0.027999999999999997,0.037000000000000005,10.61749762,,,,,,999.06,70.1,2011ApJ...738..162S,1.0
SDSS-II SN 15697,2006-10-13,2h00m03.936s,0d46m34.655s,SDSS J20003.93+004634.9,7,4,3,738,1105,1105,SDSS-II SN 15697,02h00m03.942s,+00d46m34.65s,2011ApJ...738..162S,VisS,0.127,,2011ApJ...738..162S,539.99,38.04,0.068,0.008,0.001,0.237855658,,,,,,539.99,38.04,2011ApJ...738..162S,1.0
SDSS-II SN 15726,2006-10-04,23h17m58.728s,-0d00m25.99s,,23,4,19,1135,1117,689,SDSS-II SN 15726,23h17m58.711s,-00d00m26.21s,2010ApJ...713.1026D,VisS,0.40299999999999997,,2011ApJ...738..162S,1720.69,120.53,0.121,0.013000000000000001,0.006,2.820054631,,,,,,1720.69,120.53,2011ApJ...738..162S,0.988
SDSS-II SN 15730,2006-10-03,23h59m41.76s,-0d02m30.408s,SDSS J35941.74-000230.5,10,2,8,1078,365,363,SDSS-II SN 15730,23h59m41.743s,-00d02m30.55s,2007SDSS6.C...0000:,G,0.29100000000000004,,2011ApJ...738..162S,1241.13,86.99,0.092,0.01,0.005,1.7647485369999998,,,,,,1241.13,86.99,2011ApJ...738..162S,0.9420000000000001
SDSS-II SN 15737,2006-10-03,0h49m28.528s,-0d03m35.73s,SDSS J04928.42-000336.5,6,2,4,1094,356,356,SDSS-II SN 15737,00h49m28.425s,-00d03m36.62s,2007SDSS6.C...0000:,G,0.32299999999999995,,2011ApJ...738..162S,1378.54,96.6,0.09300000000000001,0.01,0.03,11.96614899,,,,,5145627.0,1378.54,96.6,2011ApJ...738..162S,0.996
SDSS-II SN 15748,2006-10-23,3h12m27.499s,-0d07m50.21s,SDSS J31227.49-000750.3,15,2,13,1063,791,363,WISEA J031227.49-000750.2,03h12m27.494s,-00d07m50.27s,2007SDSS6.C...0000:,G,0.157,,2010ApJ...713.1026D,669.77,47.08,0.2,0.022000000000000002,0.002,0.313314808,,,,,,669.77,47.08,2010ApJ...713.1026D,1.0
SDSS-II SN 15751,2006-10-13,3h36m06.78s,-0d03m06.02s,,6,2,4,1051,784,58,SDSS-II SN 15751,03h36m06.761s,-00d03m06.34s,2010ApJ...713.1026D,VisS,0.321,,2011ApJ...738..162S,1372.62,96.18,0.282,0.031,0.006999999999999999,2.8580447089999996,,,,,,1372.62,96.18,2011ApJ...738..162S,1.0
SDSS-II SN 15755,2006-10-17,23h53m36.778s,0d13m34.86s,SDSS J35336.73+001338.9,8,2,6,1092,688,6,SDSS J235336.72+001338.9,23h53m36.734s,+00d13m38.93s,2007SDSS6.C...0000:,G,0.281,0.01,2011ApJ...738..162S,1198.28,94.28,0.10400000000000001,0.012,0.069,24.07327897,,,,,,1198.28,94.28,2011ApJ...738..162S,1.0
SDSS-II SN 15761,2006-10-17,1h21m10.46s,0d20m27.7s,SDSS J12110.45+002027.7,18,4,14,751,378,42,WISEA J012110.46+002027.8,01h21m10.459s,+00d20m27.77s,2007SDSS6.C...0000:,G,0.35499,0.00011999999999999999,2016SDSSD.C...0000:,1515.89,106.2,0.092,0.01,0.001,0.528033086,,,,,,1515.89,106.2,2016SDSSD.C...0000:,0.961
SDSS-II SN 15779,2006-10-21,23h02m34.8s,-0d27m45.18s,SDSS J30234.71-002745.5,12,4,8,770,342,322,SDSS-II SN 15779,23h02m34.717s,-00d27m45.47s,2007SDSS6.C...0000:,G,0.18899999999999997,,2011ApJ...738..162S,804.19,56.45,0.16399999999999998,0.018000000000000002,0.022000000000000002,5.019986195,,,,,,804.19,56.45,2011ApJ...738..162S,1.0
SDSS-II SN 15784,2006-10-17,23h46m41.693s,-0d36m55.19s,SDSS J34641.68-003657.0,6,4,2,1094,680,681,SDSS J234641.68-003657.0,23h46m41.698s,-00d36m57.01s,2007SDSS6.C...0000:,G,0.2771,0.0001,2011ApJ...738..162S,1181.56,82.82,0.11900000000000001,0.013000000000000001,0.03,10.48755942,,,,,,1181.56,82.82,2011ApJ...738..162S,1.0
SDSS-II SN 15793,2006-10-12,1h26m32.88s,1d01m38.352s,,6,4,2,746,355,356,SDSS-II SN 15793,01h26m32.945s,+01d01m38.12s,2007SDSS6.C...0000:,G,0.22899999999999998,,2011ApJ...738..162S,976.36,68.48,0.071,0.008,0.016,4.7686726319999995,,,,,,976.36,68.48,2011ApJ...738..162S,0.95
SDSS-II SN 15806,2006-10-22,1h36m22.153s,-0d49m50.27s,SDSS J13622.16-004950.3,8,4,4,748,725,349,WISEA J013622.18-004950.4,01h36m22.162s,-00d49m50.37s,2007SDSS6.C...0000:,G,0.25,0.01,2011ApJ...738..162S,1066.45,86.17,0.083,0.009000000000000001,0.003,0.872680085,,,,,5192960.0,1066.45,86.17,2011ApJ...738..162S,1.0
SDSS-II SN 15814,2006-10-16,1h58m54.045s,-0d22m21.55s,SDSS J15853.99-002221.7,12,4,8,741,736,736,SDSS-II SN 15814,01h58m54.033s,-00d22m21.83s,2010ApJ...713.1026D,VisS,0.359,,2011ApJ...738..162S,1533.58,107.44,0.067,0.006999999999999999,0.006,2.482918191,,,,,,1533.58,107.44,2011ApJ...738..162S,1.0
SDSS-II SN 15817,2006-10-20,1h58m15.514s,0d00m48.06s,SDSS J15815.50+000048.0,10,4,6,745,1098,732,WISEA J015815.49+000047.9,01h58m15.505s,+00d00m47.96s,2007SDSS6.C...0000:,G,0.39399999999999996,,2010ApJ...713.1026D,1683.47,117.92,0.077,0.008,0.003,1.375343815,,,,,5199452.0,1683.47,117.92,2010ApJ...713.1026D,0.975
SDSS-II SN 15823,2006-10-29,20h57m00.635s,0d11m56.73s,SDSS J05700.65+001156.7,5,4,1,1161,992,992,WISEA J205700.65+001156.7,20h57m00.649s,+00d11m56.78s,2007SDSS6.C...0000:,G,0.2152,0.0005,2011ApJ...738..162S,917.27,64.39,0.22899999999999998,0.025,0.003,0.965235545,,,,,,917.27,64.39,2011ApJ...738..162S,1.0
SDSS-II SN 15850,2006-10-20,0h02m40.21s,-1d09m54.45s,SDSS J00240.76-010956.9,8,2,6,1095,353,346,[CDN2013] CID 15850 HOST,00h02m40.202s,-01d09m54.79s,2010ApJ...713.1026D,G,0.2502,0.01,2011ApJ...738..162S,1066.43,86.17,0.09300000000000001,0.01,0.006,1.874377503,,,,,5182483.0,1066.43,86.17,2011ApJ...738..162S,1.0
SDSS-II SN 15860,2006-10-16,0h18m23.381s,0d10m59.11s,SDSS J01823.38+001057.5,12,2,10,30,377,12,SDSS-II SN 15860,00h18m23.364s,+00d10m58.91s,2010ApJ...713.1026D,VisS,0.24100000000000002,,2011ApJ...738..162S,1027.1,72.03,0.07400000000000001,0.008,0.006,1.62278681,,,,,,1027.1,72.03,2011ApJ...738..162S,0.9990000000000001
SDSS-II SN 15865,2006-10-27,3h48m16.08s,0d29m55.64s,SDSS J34816.11+002955.4,6,2,4,1061,778,775,WISEA J034816.17+002954.9,03h48m16.117s,+00d29m55.57s,2007SDSS6.C...0000:,G,0.33,0.01,2011ApJ...738..162S,1411.42,107.77,0.588,0.065,0.009000000000000001,3.835589772,,,,,,1411.42,107.77,2011ApJ...738..162S,1.0
SDSS-II SN 15866,2006-10-22,22h35m07.412s,0d58m04.94s,SDSS J23507.39+005805.1,2,1,1,788,1816,1816,WISEA J223507.39+005805.1,22h35m07.395s,+00d58m05.09s,2007SDSS6.C...0000:,G,0.18899999999999997,0.01,2011ApJ...738..162S,804.24,70.87,0.23800000000000002,0.026000000000000002,0.005,1.161785483,,,,,,804.24,70.87,2011ApJ...738..162S,1.0
SDSS-II SN 15892,2006-10-31,21h32m47.76s,0d41m19.94s,SDSS J13247.75+004119.9,530,205,325,1144,1759,268,WISEA J213247.76+004119.9,21h32m47.753s,+00d41m19.83s,2007SDSS6.C...0000:,G,0.1839,0.0005,2011ApJ...738..162S,782.82,55.01,0.161,0.018000000000000002,0.003,0.577135316,,,,,,782.82,55.01,2011ApJ...738..162S,1.0
SDSS-II SN 15935,2006-10-20,21h43m51.12s,0d26m23.89s,SDSS J14351.15+002623.8,6,4,2,1146,689,689,SDSS-II SN 15935,21h43m51.144s,+00d26m23.79s,2007SDSS6.C...0000:,G,0.193,,2011ApJ...738..162S,821.69,57.68,0.191,0.021,0.006,1.498297655,,,,,,821.69,57.68,2011ApJ...738..162S,1.0
SDSS-II SN 15941,2006-10-22,22h11m43.683s,-0d41m05.31s,SDSS J21143.69-004105.3,52,9,43,806,1398,669,SDSS-II SN 15941,22h11m43.689s,-00d41m05.28s,2007SDSS6.C...0000:,G,0.311,,2011ApJ...738..162S,1326.86,92.98,0.20800000000000002,0.023,0.001,0.613027173,,,,,,1326.86,92.98,2011ApJ...738..162S,0.975
SDSS-II SN 15944,2006-10-14,23h14m45.803s,0d25m36.16s,SDSS J31445.79+002535.5,10,6,4,1145,726,330,SDSS-II SN 15944,23h14m45.802s,+00d25m36.16s,2011ApJ...738..162S,VisS,0.29600000000000004,,2011ApJ...738..162S,1262.43,88.47,0.11599999999999999,0.013000000000000001,0.001,0.092253117,,,,,,1262.43,88.47,2011ApJ...738..162S,0.9159999999999999
SDSS-II SN 15945,2006-10-27,23h37m20.444s,0d29m58.97s,SDSS J33720.43+002958.6,8,6,2,1109,328,329,SDSS-II SN 15945,23h37m20.438s,+00d29m58.71s,2007SDSS6.C...0000:,G,0.205,,2011ApJ...738..162S,872.73,61.24,0.096,0.011000000000000001,0.005,1.171925171,,,,,,872.73,61.24,2011ApJ...738..162S,0.9259999999999999
SDSS-II SN 15946,2006-11-08,23h40m45.12s,0d37m56.147s,SDSS J34045.19+003756.2,10,6,4,54,317,317,SDSS-II SN 15946,23h40m45.189s,+00d37m56.18s,2007SDSS6.C...0000:,G,0.139,,2011ApJ...738..162S,590.08,41.53,0.079,0.009000000000000001,0.017,2.990707018,,,,,,590.08,41.53,2011ApJ...738..162S,0.996
SDSS-II SN 15961,2006-10-22,0h14m59.94s,-0d48m15.4656s,SDSS J01459.92-004815.2,12,2,10,36,737,6,WISEA J001459.94-004815.3,00h14m59.918s,-00d48m15.43s,2007SDSS6.C...0000:,G,0.28531999999999996,2.9999999999999997e-05,2016SDSSD.C...0000:,1216.9,85.29,0.114,0.013000000000000001,0.006,1.967690406,,,,,,1216.9,85.29,2016SDSSD.C...0000:,0.975
SDSS-II SN 15967,2006-10-16,1h28m20.24s,-0d46m15.48s,,11,4,7,750,1104,710,SDSS-II SN 15967,01h28m20.240s,-00d46m15.48s,2011ApJ...738..162S,VisS,0.374,,2011ApJ...738..162S,1597.4,111.9,0.085,0.009000000000000001,0.0,0.0,,,,,,1597.4,111.9,2011ApJ...738..162S,0.92
SDSS-II SN 15988,2006-09-30,0h25m00.91s,0d00m32.2s,SDSS J02500.91+000032.1,12,4,8,1091,395,374,WISEA J002500.91+000032.3,00h25m00.906s,+00d00m32.19s,2007SDSS6.C...0000:,G,0.36103,4e-05,2016SDSSD.C...0000:,1541.19,107.97,0.079,0.009000000000000001,0.001,0.456291349,,,,,,1541.19,107.97,2016SDSSD.C...0000:,0.9690000000000001
SDSS-II SN 16039,2006-10-16,1h37m48.264s,-1d05m48.012s,,10,4,6,742,733,344,SDSS-II SN 16039,01h37m48.270s,-01d05m48.01s,2011ApJ...738..162S,VisS,0.47700000000000004,,2011ApJ...738..162S,2038.65,142.77,0.08900000000000001,0.01,0.001,0.892208131,,,,,,2038.65,142.77,2011ApJ...738..162S,0.9890000000000001
SDSS-II SN 16111,2006-10-22,21h57m16.063s,0d56m07.62s,,22,14,8,806,696,279,SDSS-II SN 16111,21h57m16.063s,+00d56m07.62s,2010ApJ...713.1026D,VisS,0.215,,2011ApJ...738..162S,915.8,64.25,0.15,0.017,0.0,0.0,,,,,,915.8,64.25,2011ApJ...738..162S,1.0
SDSS-II SN 16121,2006-10-27,3h16m54.936s,-0d21m21.528s,SDSS J31654.91-002121.2,14,2,12,1067,779,399,SDSS-II SN 16121,03h16m54.924s,-00d21m21.53s,2011ApJ...738..162S,VisS,0.012,,2011ApJ...738..162S,48.86,5.49,0.18899999999999997,0.021,0.003,0.044882665,,,,,,48.86,5.49,2011ApJ...738..162S,1.0
SDSS-II SN 16130,2006-10-29,3h27m05.962s,0d09m28.22s,SDSS J32705.98+000928.1,6,2,4,1069,778,778,SDSS J032705.98+000928.1,03h27m05.982s,+00d09m28.14s,2007SDSS6.C...0000:,G,0.325,,2010ApJ...713.1026D,1389.57,97.36,0.342,0.038,0.005,2.096621135,,,,,,1389.57,97.36,2010ApJ...713.1026D,0.902
SDSS-II SN 16136,2006-11-08,2h13m56.605s,-0d43m53.74s,SDSS J21356.62-004354.1,8,4,4,1119,715,716,SDSS J021356.61-004354.0,02h13m56.618s,-00d43m54.05s,2007SDSS6.C...0000:,G,0.3427,0.0001,2011ApJ...738..162S,1464.02,102.57,0.09,0.01,0.006,2.6077566009999997,,,,,5193429.0,1464.02,102.57,2011ApJ...738..162S,1.0
SDSS-II SN 16148,2006-10-27,3h14m38.697s,0d35m17.77s,SDSS J31438.67+003517.6,23,2,21,1067,1128,359,SDSS-II SN 16148,03h14m38.671s,+00d35m17.30s,2010ApJ...713.1026D,VisS,0.249,,2011ApJ...738..162S,1063.82,74.59,0.275,0.03,0.01,3.1597436119999998,,,,,,1063.82,74.59,2011ApJ...738..162S,0.998
SDSS-II SN 16153,2006-10-22,3h27m29.736s,0d53m43.91s,SDSS J32729.72+005343.8,7,2,5,1062,1132,432,SDSS-II SN 16153,03h27m29.719s,+00d53m43.95s,2007SDSS6.C...0000:,G,0.196,,2011ApJ...738..162S,837.09,58.76,0.324,0.036000000000000004,0.005,1.051169531,,,,,,837.09,58.76,2011ApJ...738..162S,0.972
SDSS-II SN 16163,2006-11-09,2h05m59.76s,-0d51m21.1s,SDSS J20559.80-005120.9,12,6,6,1120,712,709,WISEA J020559.78-005121.0,02h05m59.74s,-00d51m21.1s,1990MNRAS.243..692M,G,0.1549,0.0005,2011ApJ...738..162S,659.59,46.42,0.087,0.01,0.004,0.965541075,,,,,5236342.0,659.59,46.42,2011ApJ...738..162S,1.0
SDSS-II SN 16172,2006-11-01,3h50m49.339s,-0d13m08.98s,SDSS J35049.23-001305.7,14,2,12,1066,1479,776,WISEA J035049.23-001305.8,03h50m49.239s,-00d13m05.68s,2007SDSS6.C...0000:,G,0.2195,0.0002,2011ApJ...738..162S,938.24,65.82,0.5870000000000001,0.065,0.061,16.53218623,,,,,,938.24,65.82,2011ApJ...738..162S,1.0
SDSS-II SN 16199,2006-10-23,22h11m46.639s,1d08m06.12s,SDSS J21146.66+010804.7,55,6,49,806,1399,276,SDSS-II SN 16199,22h11m46.617s,+01d08m05.82s,2010ApJ...713.1026D,VisS,0.29100000000000004,,2011ApJ...738..162S,1241.19,86.99,0.114,0.013000000000000001,0.008,2.696549905,,,,,,1241.19,86.99,2011ApJ...738..162S,1.0
SDSS-II SN 16220,2006-09-28,0h39m42.185s,0d40m48.65s,,12,4,8,698,714,345,SDSS-II SN 16220,00h39m42.168s,+00d40m48.29s,2010ApJ...713.1026D,VisS,0.154,,2011ApJ...738..162S,654.66,46.03,0.047,0.005,0.008,1.411621015,,,,,,654.66,46.03,2011ApJ...738..162S,1.0
SDSS-II SN 16237,2006-10-31,1h32m02.52s,-0d37m24.6s,SDSS J13202.51-003724.8,10,6,4,765,718,712,WISEA J013202.48-003724.6,01h32m02.507s,-00d37m24.62s,2007SDSS6.C...0000:,G,0.29600000000000004,,2010ApJ...713.1026D,1263.39,88.54,0.10099999999999999,0.011000000000000001,0.004,1.205581932,,,,,,1263.39,88.54,2010ApJ...713.1026D,1.0
SDSS-II SN 16238,2006-10-31,1h51m39.633s,-0d26m08.84s,SDSS J15139.66-002611.5,8,4,4,757,720,720,WISEA J015139.67-002611.3,01h51m39.659s,-00d26m11.48s,2007SDSS6.C...0000:,G,0.33899999999999997,,2010ApJ...713.1026D,1447.82,101.44,0.08,0.009000000000000001,0.044000000000000004,18.79704657,,,,,5237284.0,1447.82,101.44,2010ApJ...713.1026D,0.99
SDSS-II SN 16301,2006-10-29,21h50m06.96s,1d01m59.916s,,9,7,2,813,662,662,SDSS-II SN 16301,21h50m06.861s,+01d01m59.93s,2011ApJ...738..162S,VisS,0.19399999999999998,,2011ApJ...738..162S,825.91,57.98,0.2,0.022000000000000002,0.025,5.986122008,,,,,,825.91,57.98,2011ApJ...738..162S,0.996
