name,disc_date,galex_ra,galex_dec,osc_host,epochs_total,epochs_pre,epochs_post,delta_t_first,delta_t_last,delta_t_next,ned_objname,ned_ra,ned_dec,posn_ref,ned_type,z,z_err,z_ref,h_dist,h_dist_err,a_v,a_k,sep,offset,offset_verdict,z_indep_dist,z_indep_dist_err,z_indep_ref,pgc,pref_dist,pref_dist_err,pref_dist_ref,P_Ia
Hawk,2004-11-05,12h35m41.16s,62d11m37.19s,GOODS J123540.97+621136.5,211,119,92,281,2315,163,ACS-GC 50015503,12h35m41.000s,+62d11m36.13s,2011A&A...528A..35M,G,0.49673,0.00033,2004AJ....127.3121W,2129.09,149.1,0.031,0.003,0.026000000000000002,27.07860483,,,,,4603013.0,2129.09,149.1,2004AJ....127.3121W,1.0
HST04Sas,2004-05-23,12h36m54.125s,62d08m22.21s,GOODS J123654.15+620821.8,213,121,92,118,2481,329,S-CANDELS J123654.11+620821.7 ,12h36m54.150s,+62d08m21.80s,2004ApJ...617..240K,G,0.44643,0.00033,2004AJ....127.3121W,1913.67,134.03,0.031,0.003,0.006999999999999999,5.153916197,,,,,4603957.0,1913.67,134.03,2004AJ....127.3121W,1.0
Kurage,2004-12-15,3h32m36.03s,-27d51m17.66s,,326,78,248,401,2184,311,GALEXASC J033236.02-275118.6  ,03h32m35.961s,-27d51m18.28s,2001A&A...377..442W,G,0.3592,0.00085,2004A&A...428.1043L,1536.71,107.72,0.021,0.002,0.019,9.004490878,,,,,,1536.71,107.72,2004A&A...428.1043L,1.0
PS1-1000003,2010-01-11,8h37m18.938s,44d20m01.44s,,8,7,1,2186,3,4,PS1-10c,08h37m18.9369s,+44d20m01.439s,2014ApJ...795...44R,SN,0.152,0.001,2014ApJ...795...44R,653.47,46.14,0.07400000000000001,0.008,0.001,0.052369763,,,,,,653.47,46.14,2014ApJ...795...44R,3.0
PS1-1000004,2010-01-11,3h33m27.948s,-28d22m17.48s,,142,131,11,2254,331,314,PS1-10d,03h33m27.9480s,-28d22m17.479s,2014ApJ...795...44R,SN,0.231,0.001,2014ApJ...795...44R,987.69,69.4,0.023,0.003,0.0,0.004799655,,,,,,987.69,69.4,2014ApJ...795...44R,3.0
PS1-1000005,2010-01-12,9h58m59.758s,3d09m27.11s,,42,22,20,1438,400,24,PS1-10e,09h58m59.7581s,+03d09m27.112s,2014ApJ...795...44R,SN,0.245,0.001,2014ApJ...795...44R,1054.23,74.04,0.061,0.006999999999999999,0.0,0.012726359,,,,,,1054.23,74.04,2014ApJ...795...44R,3.0
PS1-1000007,2010-01-10,2h23m30.711s,-4d38m10.76s,,147,136,11,2223,306,289,PS1-10g,02h23m30.7111s,-04d38m10.759s,2014ApJ...795...44R,SN,0.13699999999999998,0.001,2014ApJ...795...44R,583.27,41.27,0.071,0.008,0.0,0.005131689,,,,,,583.27,41.27,2014ApJ...795...44R,3.0
PS1-1000008,2010-01-10,2h24m15.945s,-3d11m11.53s,,54,35,19,1153,306,288,PS1-10h,02h24m15.9449s,-03d11m11.530s,2014ApJ...795...44R,SN,0.25,0.01,2014ApJ...795...44R,1067.21,86.22,0.076,0.008,0.0,0.007791648000000001,,,,,,1067.21,86.22,2014ApJ...795...44R,3.0
PS1-1000009,2010-01-10,2h20m22.959s,-4d40m21.03s,,65,55,10,1903,306,289,PS1-10i,02h20m22.9591s,-04d40m21.029s,2014ApJ...795...44R,SN,0.15,0.001,2014ApJ...795...44R,638.89,45.13,0.06,0.006999999999999999,0.0,0.0056186380000000005,,,,,,638.89,45.13,2014ApJ...795...44R,3.0
PS1-10acx,2010-08-16,16h05m54.089s,55d11m52.3s,,63,55,8,2231,298,249,PS1-10acx,16h05m54.0890s,+55d11m52.300s,2014ApJ...795...44R,SN,0.35,0.001,2014ApJ...795...44R,1499.29,105.13,0.019,0.002,0.0,0.0,,,,,,1499.29,105.13,2014ApJ...795...44R,2.0
PS1-10bls,2010-11-07,3h32m16.116s,-27d11m39.51s,,93,83,10,2554,31,14,PS1-10bls,03h32m16.1160s,-27d11m39.509s,2014ApJ...795...44R,SN,0.276,0.001,2014ApJ...795...44R,1180.36,82.85,0.02,0.002,0.0,0.005734653,,,,,,1180.36,82.85,2014ApJ...795...44R,2.0
PS1-10byr,2010-12-06,22h17m50.801s,1d02m33.8s,,127,126,1,2653,310,310,PS1-10byr,22h17m50.8010s,+01d02m33.799s,2014ApJ...795...44R,SN,0.24,0.01,2014ApJ...795...44R,1022.73,83.53,0.18899999999999997,0.021,0.0,0.004986655,,,,,,1022.73,83.53,2014ApJ...795...44R,1.0
PS1-10f,2010-01-12,9h59m54.221s,2d24m42.84s,,240,219,21,2162,421,24,PS1-10f,09h59m54.2210s,+02d24m42.840s,2014ApJ...795...44R,SN,0.38,0.01,2014ApJ...795...44R,1632.42,122.11,0.049,0.005,0.0,0.0,,,,,,1632.42,122.11,2014ApJ...795...44R,3.0
PS1-10ia,2010-03-20,14h11m31.058s,53d34m46.48s,,18,10,8,319,359,2,PS1-10ia,14h11m31.0579s,+53d34m46.481s,2014ApJ...795...44R,SN,0.409,0.001,2014ApJ...795...44R,1753.34,122.88,0.035,0.004,0.0,0.015320151,,,,,,1753.34,122.88,2014ApJ...795...44R,2.0
PS1-10if,2010-03-20,10h00m21.196s,1d25m05.25s,,45,34,11,2225,333,2,PS1-10if,10h00m21.1961s,+01d25m05.250s,2014ApJ...795...44R,SN,0.15,0.001,2014ApJ...795...44R,647.4,45.72,0.055999999999999994,0.006,0.0,0.004674989,,,,,,647.4,45.72,2014ApJ...795...44R,2.0
PS1-10io,2010-04-12,10h00m44.015s,3d24m14.31s,,43,34,9,1528,310,294,PS1-10io,10h00m44.0150s,+03d24m14.310s,2014ApJ...795...44R,SN,0.22,0.001,2014ApJ...795...44R,947.17,66.58,0.067,0.006999999999999999,0.0,0.0,,,,,,947.17,66.58,2014ApJ...795...44R,3.0
PS1-10j,2010-01-16,10h49m14.22s,58d28m02.04s,,51,48,3,2184,416,5,PS1-10j,10h49m14.2200s,+58d28m02.039s,2014ApJ...795...44R,SN,0.436,0.001,2014ApJ...795...44R,1869.47,131.0,0.021,0.002,0.0,0.00905909,,,,,,1869.47,131.0,2014ApJ...795...44R,3.0
PS1-10k,2010-01-16,10h00m27.616s,2d41m38.52s,,199,162,37,2166,396,19,PS1-10k,10h00m27.6161s,+02d41m38.519s,2014ApJ...795...44R,SN,0.34,0.001,2014ApJ...795...44R,1461.11,102.46,0.053,0.006,0.0,0.012770251000000002,,,,,,1461.11,102.46,2014ApJ...795...44R,3.0
PS1-10n,2010-01-16,10h03m14.385s,3d08m39.21s,,42,20,22,1418,739,19,PS1-10n,10h03m14.3849s,+03d08m39.210s,2014ApJ...795...44R,SN,0.46,0.001,2014ApJ...795...44R,1975.05,138.39,0.053,0.006,0.001,0.014336632,,,,,,1975.05,138.39,2014ApJ...795...44R,3.0
