,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400
0.1,0.75,0.0,0.0,0.0,0.2916666666666667,1.0,1.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14384498882876628,0.7777777777777778,0.0,0.0,0.0,0.8,1.2857142857142856,1.5714285714285714,1.1642105263157894,0.25925925925925924,0.24,0.4666666666666667,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.8,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
0.20691380811147897,0.7078039927404718,0.0,0.13333333333333333,0.09523809523809523,0.8804347826086957,1.4210526315789473,2.0,1.6666666666666665,0.45454545454545453,0.8461538461538461,1.0,0.875,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0
0.29763514416313175,1.8181818181818183,1.391304347826087,1.5454545454545454,1.3181818181818181,1.5347222222222223,2.4682539682539684,2.388888888888889,1.5909090909090908,0.7574074074074073,1.0,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0
0.42813323987193935,2.470203709334144,1.6956521739130435,2.3456718719876615,2.614455592716462,2.8266666666666667,3.0,3.0,2.2753623188405796,0.9,1.0,1.0,0.8518518518518519,0.4166666666666667,0.8823529411764706,0.95,0.48148148148148145,1.0,1.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
0.6158482110660264,3.7441951067477017,3.6878306878306875,4.6481877599524655,4.746249536522061,4.573386123680241,3.5694444444444446,3.0,2.238095238095238,1.1545454545454545,1.0,1.0,0.8125,0.8571428571428571,1.0,1.0,1.0560224089635855,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0
0.8858667904100825,5.244078947368421,6.940096618357488,7.575633528265108,7.1975303643724695,5.893748259537733,5.087474120082816,3.4444444444444446,2.1848884381338745,1.27,1.0,1.0,0.96,1.0,1.0,1.0,0.9584980237154149,1.0,1.0,1.0,0.375,0.0,0.0,0.0,0.0,0.0
1.2742749857031335,7.118250036856848,8.665833060913153,10.309057971014495,9.313146997929607,6.693761759471142,6.389328063241107,4.833333333333333,3.2436373539314713,1.4383180172653858,1.2875816993464053,1.3194444444444444,1.037037037037037,1.0,1.0,1.1481481481481481,1.25,1.0,1.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0
1.8329807108324356,10.303383964466581,11.772393048128343,13.751260727576517,10.66764517794266,8.276949998446835,7.455710354317166,6.631578947368421,5.132536504304238,3.0784313725490193,3.0,2.6521739130434785,1.2272727272727273,1.0,1.0,1.6071428571428572,1.2592592592592593,1.0,1.0,1.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.0
2.636650898730358,13.068387243437956,14.704446625499257,17.624069264069263,13.266974789915967,10.59263039274481,8.105367096671444,7.190476190476191,6.564474522426467,3.3748275862068966,3.0,2.6,1.3571428571428572,1.0,1.0,1.8571428571428572,1.1904761904761905,1.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
3.79269019073225,17.84295051568379,19.371773182957394,21.636440591562295,16.324081302080792,11.596381581381582,9.13889599317988,8.739234449760765,7.369363075864624,4.797609244620114,4.933838383838384,4.085833333333333,1.6357142857142857,1.074074074074074,1.1916264090177133,2.0,1.2222222222222223,1.0,1.0,1.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0
