tstart,scale,recovered
1441.0,1.4583508761104245,False
402.0,325.8250762837938,True
1982.0,8.220134851449993,False
362.0,97.89768456962919,True
1031.0,7.585364420831406,False
1705.0,360.3923524464937,False
859.0,33.04089718821454,False
337.0,188.8234744276484,True
1418.0,13.863137717762836,False
416.0,13.940151094309313,True
434.0,7.901331773469948,False
294.0,12.242560892470262,False
1342.0,1.3876473291552798,False
2384.0,891.9787389875853,False
645.0,289.46065268177665,True
1447.0,66.25372970078695,False
145.0,115.67607147991446,False
2086.0,1.7453449234715996,False
774.0,15.162208180596629,False
1973.0,172.78823230927287,False
2498.0,22.68016218165895,False
1335.0,12.450548022855656,False
1166.0,125.14440282586789,False
2366.0,878.8359088530543,False
1411.0,6.493529443768793,False
649.0,433.40702570936855,True
2160.0,3.00318008966778,False
223.0,623.0729883286502,True
225.0,32.77631406916722,False
889.0,197.82812834431408,False
1860.0,4.445634310208686,False
2045.0,14.000724989642038,False
1032.0,8.516306301648264,False
710.0,470.7223934201453,True
982.0,8.852723433924474,False
1945.0,186.9641222029648,False
225.0,100.6801275627596,False
2500.0,28.915034560474147,False
315.0,340.6741337989209,True
895.0,351.84338027032084,False
792.0,196.3213664419886,False
577.0,9.465979248955042,True
456.0,9.102611446492011,True
1495.0,1.67996532431405,False
554.0,215.83245453733375,True
449.0,396.93704987405016,True
189.0,5.908118128370052,False
470.0,391.0372338614137,True
1323.0,12.294882037810982,False
2211.0,8.854548972050946,False
1002.0,73.69010300835494,False
2353.0,3.1335536312874344,False
362.0,7.728530855404435,False
1122.0,75.08106922433453,False
41.0,46.95791748844963,True
173.0,61.40834161131031,False
1527.0,4.818558831687053,False
1522.0,13.538837006992823,False
2376.0,89.61617883998079,False
553.0,400.34371545704715,True
557.0,21.89190260298926,True
221.0,19.51578540097896,False
854.0,79.94036706098667,False
1384.0,1.0730935781660176,False
257.0,1.2166148747052055,False
1847.0,498.9922898101494,False
233.0,52.18932450394501,False
471.0,146.92268358093784,True
1516.0,699.0399031663492,False
50.0,34.99698963380848,True
615.0,4.683821166914745,False
1020.0,311.29568674346035,False
1634.0,1.1055694702566692,False
2482.0,811.0466280987317,False
559.0,2.031076186251654,False
2076.0,237.80576281535446,False
2178.0,76.33773386284133,False
1185.0,4.803098878257302,False
756.0,50.15176450134131,False
1358.0,8.47638981973019,False
178.0,17.55024542449006,False
1658.0,8.774212323768504,False
569.0,105.34479652493171,True
880.0,126.56724803409148,False
1826.0,434.4493332078254,False
803.0,175.41581945116067,False
403.0,695.974449863643,True
199.0,116.60885259052371,False
1927.0,2.097047479284239,False
923.0,12.954044691692948,False
1790.0,7.101676083422865,False
1368.0,40.016815850191655,False
1927.0,1.0563098569353737,False
2208.0,432.3752626106479,False
319.0,345.678616736098,True
1509.0,26.08915027287309,False
1054.0,274.6268732922244,False
1245.0,502.99222440898467,False
489.0,4.73943059048915,False
